PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Ercegovac, Z				Ercegovac, Z			Special topic issue: Integrating multiple overlapping metadata standards - Introduction	JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE			English	Editorial Material								Metadata is a critical component in the context of knowledge representation and data mining in digital libraries, just as it traditionally was in the context of the pre-Web libraries. In today's digital libraries environment, in which individual collections of massive heterogeneous objects need to be unified and linked in a single resource, we are witnessing both the growth of different metadata and the attempts to reconcile the common attributes in the existing overlapping standards. The goal is to access relevant information seamlessly, regardless of its type (e.g., visual and museum objects, historical data, cultural heritage, scientific data), location, and scholarly tradition (e.g., librarians, archivists, scientists). This special issue of JASIS addresses different applications of metadata standards in geospatial collections, education, historical costume collection, data management, and information retrieval, and explores the future thinking of metadata standards for digital libraries.	Univ Calif Los Angeles, Los Angeles, CA 90095 USA; InfoEN Associates, Los Angeles, CA 90066 USA	Ercegovac, Z (reprint author), Univ Calif Los Angeles, Los Angeles, CA 90095 USA.	zorana@cs.ucla.edu						0	6	6	0	2	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN, NJ 07030 USA	0002-8231			J AM SOC INFORM SCI	J. Am. Soc. Inf. Sci.	NOV	1999	50	13					1165	1168		10.1002/(SICI)1097-4571(1999)50:13<1165::AID-ASI2>3.0.CO;2-I				4	Computer Science, Information Systems; Information Science & Library Science	Computer Science; Information Science & Library Science	245ZA	WOS:000083137400002					2018-12-03	
J	Dougherty, PJ				Dougherty, PJ			Long-term follow-up study of bilateral above-the-knee amputees from the Vietnam War	JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME			English	Article								Background: Because caring for patients who have combat-related amputations is a discontinuous practice, military surgeons must relearn treatment techniques during each conflict. Methods: The purpose of the present long-term study (average duration of follow-up, 27.5 years) was to document the status of patients who had sustained a bilateral above-the-knee amputation in Vietnam and had been managed by the only separate amputee service in the United States Army. A review of the records of 484 battle amputees identified thirty individuals (6 percent) who had a bilateral above-the-knee amputation. Twenty-six (87 percent) of the thirty patients had been injured by a land mine or a booby trap. Fifty-three (88 percent) of the sixty limbs were amputated because of trauma, and the other seven (12 percent) were amputated secondarily because of infection. Data regarding education, employment, marriage and family life, prosthetic use, and psychological care were collected by mail or telephone for twenty-three (85 percent) of the twenty-seven surviving patients. Respondents also completed the Short Form-36 (SF-36) Health Survey Results: At the time of the study, five (22 percent) of the twenty-three respondents used prostheses for walking; the devices were used for an average of 7.7 hours per day. Sixteen respondents (70 percent) were or had been employed outside of the home since the time of discharge. The physical functioning score on the SF-36 questionnaire was significantly lower for the study group than it was for a group of age and gender-matched controls (p < 0.001; Student two-tailed t test). With the numbers available, no significant differences could be detected between the groups with regard to physical role functioning (p = 0.377), bodily pain (p = 0.603), general health (p = 0.407), vitality (p = 0.949), social functioning (p = 0.460), emotional role functioning (p = 0.029), or mental health (p = 0.102), Conclusions: The patients in the present study have led relatively normal, productive lives within the context of their physical limitations.	Univ Louisville, Louisville, KY 40292 USA	Dougherty, PJ (reprint author), William Beaumont Army Med Ctr, Dept Surg, Orthopaed & Rehabil Serv, 5005 N Piedras St, El Paso, TX 79920 USA.						ARTZ CP, 1955, ANN SURG, V141, P285, DOI 10.1097/00000658-195503000-00001; BATCH JW, 1954, J BONE JOINT SURG AM, V36-A, P921, DOI 10.2106/00004623-195436050-00004; Bellamy R, 1995, ANESTHESIA PERIOPERA, P1; BLAKE LA, 1926, MIL SURG, V58, P225; Brackett E, 1927, MED DEPT US ARMY WOR, VXI, P687; BROWN PW, 1970, J BONE JOINT SURG AM, VA 52, P687, DOI 10.2106/00004623-197052040-00003; Brown PW, 1994, SURG VIETNAM ORTHOPA, P189; COLTON T, 1974, STAT MED, P163; Division Historical, 1947, B US ARM MED DEP, VVII, P520; FOSS CF, 1981, JANES ARMOR ARTILLER, P648; Frank J L, 1973, Int J Psychiatry Med, V4, P1; HARDAWAY RM, 1994, ADV THER, V11, P43; HECK CV, 1983, 50 YEARS PROGR 1933; Holcomb JB, 1997, SURG CLIN N AM, V77, P943, DOI 10.1016/S0039-6109(05)70596-X; Howard J, 1955, BATTLE CASUALITIES K, VIII, P72; KING C, 1997, JANES MINES MINE CLE, P32; Kirk NT, 1924, AMPUTATIONS; LANOUE AM, 1971, CARE DISPOSITION AMP; MANSBERGER AR, 1958, SURGERY, V43, P708; Mayfield GW, 1994, SURG VIETNAM ORTHOPE, P131; *OFF COMM CHIEF PA, 1971, 5 C WAR SURG, P40; ORR HW, 1921, ORTHOPAEDIC SURG STO; OSCHSMER EWA, 1958, SURGERY, V43, P703; PETERSON LT, 1962, SURG WORLD WAR 2, P49; Puller LB, 1993, FORTUNATE SON; Reister F. A., 1973, BATTLE CASUALTIES ME; SCHLENGER WE, 1992, J TRAUMA STRESS, V5, P333, DOI 10.1002/jts.2490050303; SMITH DG, 1992, ATLAS LIMB PROSTHETI, P599; SPITTLER AW, 1954, J BONE JOINT SURG AM, V36-A, P37, DOI 10.2106/00004623-195436010-00005; SPITTLER AW, 1949, J BONE JOINT SURG AM, V31-A, P800, DOI 10.2106/00004623-194931040-00011; Ware J. E., 1993, SF 36 HLTH SURVEY MA; WILSON PD, 1922, J BONE JOINT SURG, V4, P224	32	50	52	0	3	JOURNAL BONE JOINT SURGERY INC	NEEDHAM	20 PICKERING ST, NEEDHAM, MA 02192 USA	0021-9355			J BONE JOINT SURG AM	J. Bone Joint Surg.-Am. Vol.	OCT	1999	81A	10					1384	1390		10.2106/00004623-199910000-00003				7	Orthopedics; Surgery	Orthopedics; Surgery	247ZU	WOS:000083251500003	10535588				2018-12-03	
J	Kokol, P; Zazula, D; Brumec, V; Kolenc, L				Kokol, P; Zazula, D; Brumec, V; Kolenc, L			Nursing informatics education for the next millennium	FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF GRID COMPUTING AND ESCIENCE			English	Article						nursing informatics; curriculum development; education; SM		Better health care for all and an overall health care restructuring are two among most important processes which should be introduced in the new millenium. These two processes will expose many new tasks and responsibilities for the nursing personnel, entailing information as input and also generating information as the output. It is assumed that in the near future it is to be expected that most of the information processing including data gathering decision making support, data mining and information generation will be performed by computers. To cope with this new situation the nurses have to be armed with proper knowledge and thereafter the proper education will play a very important role. In this manner we started a new European project called NICE, whose main objective is to develop a new nursing informatics curricula and the aim of this paper is to present it and its design. (C) 1999 Elsevier Science B.V. All rights reserved.	Univ Maribor, Fac Elect Engn & Comp Sci, SLO-2000 Maribor, Slovenia; Univ Maribor, Coll Nursing Studies, SLO-2000 Maribor, Slovenia	Kokol, P (reprint author), Univ Maribor, Fac Elect Engn & Comp Sci, Smetanova 17, SLO-2000 Maribor, Slovenia.	kokol@uni-mb.si	Zazula, Damjan/A-5154-2008	, Peter/0000-0003-4073-6488			BATHANY BH, TRANSFORMING ED DESI, V8; Checkland P., 1981, SYSTEMS THINKING SYS; CHECKLAND P, 1990, SOFT SYSTEMS METHODO; DRUZOVEC TW, 1998, ENG INTELL SYST ELEC, P39; GREGORY WJ, DESIGNING ED SYSTEMS, V6, P199; JEFFCUTT P, MANAGEMENT ED CRITIC, V10; Kokol P, 1997, ST HEAL T, V46, P591; KOKOL P, 1998, NEW NURSING INFORMAT; MARUYAMA G, APPL TRANSFORMATION, V9, P85	9	4	4	0	0	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-739X			FUTURE GENER COMP SY	Futur. Gener. Comp. Syst.	MAR	1999	15	2					211	216		10.1016/S0167-739X(98)00064-8				6	Computer Science, Theory & Methods	Computer Science	180MT	WOS:000079390300007					2018-12-03	
S	Yu, RG; Chee, YS		Cumming, G; Okamoto, T; Gomez, L		Yu, RG; Chee, YS			Using an intelligent agent to improve argumentation skills over HyperNews	ADVANCED RESEARCH IN COMPUTERS AND COMMUNICATIONS IN EDUCATION, VOL 1: NEW HUMAN ABILITIES FOR THE NETWORKED SOCIETY	FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS		English	Proceedings Paper	7th International Conference on Computers in Education (ICCE 99)	NOV 04-07, 1999	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL, CHIBA, JAPAN	Assoc Adv Comp Educ, Asia Pacific Chapter, Univ ElectroCommun, Chiba Inst Technol, Japan Soc Educ Technol, Japan Soc Informat & Syst Educ	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL	computer-supported collaborative argumentation; pedagogical agent; artificial intelligence and networked learning; data mining technology in education		We describe an intelligent agent that provides students with suitable online argumentation strategies and rhetorical methods in a computer-supported collaborative argumentation environment. Computer-based arguments contain many regular patterns that occur with high frequency. Further more, these regular patterns are often related with argumentation strategics. Armed with this knowledge, the intelligent agent first retrieves regular patterns from high quality computer-based arguments, then saves them into its corpus of regular patterns. Each pattern is assigned with several suitable argumentation strategies and rhetorical methods. When students write articles either to support or to argue against a viewpoint, the intelligent agent can provide immediate strategies by matching regular patterns in related arguments. If a pattern is matched in arguments, it will retrieve argumentation strategies and rhetorical methods that are associated with that pattern, and then present them to the students. We implemented our intelligent agent on the platform of HyperNews. The regular pattern corpus has been tested with many web-based arguments. Experimental results show that, using our approach, students can readily improve the quality of their arguments with the help of this intelligent agent.	Natl Univ Singapore, Sch Comp, Singapore 119260, Singapore	Yu, RG (reprint author), Natl Univ Singapore, Sch Comp, Lower Kent Ridge Rd, Singapore 119260, Singapore.						CHAN TW, 1996, J ARTIFICIAL INTELLI, V7, P125; CONKLIN J, 1987, P ACM C HYP, P247; FISCHER G, 1989, P HYPERTEXT 89, P105; GASPAR RF, 1995, J INTERACTIVE INSTRU, P21; HURWITZ R, 1995, P 4 INT C WORLD WID; LALIBERTE D, 1997, WWW COMPUTER MED MAY; OU KL, 1998, P 8 INT C COMP ED, V1, P108; RYDER J, 1997, TEAM TOPIC DEBATING; SCHLAGETER G, 1997, P 7 INT C COMP ED; SHUM SB, 1994, INT J HUM-COMPUT ST, V40, P603, DOI 10.1006/ijhc.1994.1029; SHUM SB, 1996, P HCI 96; SMOLENSKY P, 1987, COGNITIVE SCI ITS AP, P109; STANTON J, 1997, CEDA MAILING LIST AR; SUTHERS D, 1997, P COMP SUPP COLL LEA; Suthers D., 1995, P 7 WORLD C ART INT	15	0	0	1	1	I O S PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	0922-6389		1-58603-027-2	FR ART INT			1999	55						87	94						8	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Computer Science	BP27K	WOS:000084548200011					2018-12-03	
S	Bo, L; Okamoto, T; Rong, ZH		Cumming, G; Okamoto, T; Gomez, L		Bo, L; Okamoto, T; Rong, ZH			CuteFilter: An implementation of a web based user adaptive information filter	ADVANCED RESEARCH IN COMPUTERS AND COMMUNICATIONS IN EDUCATION, VOL 1: NEW HUMAN ABILITIES FOR THE NETWORKED SOCIETY	FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS		English	Proceedings Paper	7th International Conference on Computers in Education (ICCE 99)	NOV 04-07, 1999	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL, CHIBA, JAPAN	Assoc Adv Comp Educ, Asia Pacific Chapter, Univ ElectroCommun, Chiba Inst Technol, Japan Soc Educ Technol, Japan Soc Informat & Syst Educ	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL	Internet; web application; data mining technology in education; Latent Semantic Indexing (LSI)		We describe here CuteFilter - an implementation of a web based user adaptive information filter. Nowadays, with the explosive growth of networked information, people almost cannot use Internet without search engines. However, since it is very hard for the user to describe what s/he really wants by using several keywords, search engines are well known for their low efficiencies. Thanks to the famous Latent Semantic Indexing (LSI) method in information retrieval and information filtering, we can set up a semantic space describing the user's interests by analyzing his or her history information. In this space, keywords and results are parsed according to the user's needs. Here the user's history information is got by downloading the entries of the user's web browser bookmark file, and is enriched by the feedback from the user. Some additional techniques such as weighting normalization, similar site recommendation and re-ranking high-priority results are adopted to improve the performance. It can be seen that CuteFilter does work to some extent in improving the efficiency of search engines, while it doesn't greatly decrease the speed or greatly increase the network communication cost. Moreover, Chinese and Japanese language solutions are under way to enable multilingual search and analysis, CuteFilter is especially useful in education since students' interests for research and study are relatively stable during a certain period, which means we can guess their needs more accurately by analyzing their history information. Consequently, it will help students to make better use of the large quantities of online helps and tutorials.	Univ Electrocommun, Grad Sch Informat Syst, Chofu, Tokyo 182, Japan	Bo, L (reprint author), Univ Electrocommun, Grad Sch Informat Syst, Chofu, Tokyo 182, Japan.						BERRY M, 1995, P SUP 95 SAN DIEG CA; BUCKLEY C, 1985, 85686 CORN U DEP CS; DEERWESTER S, 1990, J AM SOC INFORM SCI, V41, P391, DOI 10.1002/(SICI)1097-4571(199009)41:6<391::AID-ASI1>3.0.CO;2-9; DUMAIS S, 1996, AAAI SPRING S MACH L; FOLTZ PW, 1992, COMMUN ACM, V35, P51, DOI 10.1145/138859.138866; Lawrence S, 1998, IEEE INTERNET COMPUT, V2, P38, DOI 10.1109/4236.707689; OARD DW, 1996, THESIS	7	0	0	0	0	I O S PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	0922-6389		1-58603-027-2	FR ART INT			1999	55						1018	1025						8	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Computer Science	BP27K	WOS:000084548200160					2018-12-03	
S	Steinberg, T; Cheng, L; Makedon, F; Shen, L; Ottmann, T; Owen, C		Cumming, G; Okamoto, T; Gomez, L		Steinberg, T; Cheng, L; Makedon, F; Shen, L; Ottmann, T; Owen, C			Tracking pointer activity during lectures: A data mining framework for digital libraries of recorded presentations	ADVANCED RESEARCH IN COMPUTERS AND COMMUNICATIONS IN EDUCATION, VOL 2: NEW HUMAN ABILITIES FOR THE NETWORKED SOCIETY	FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS		English	Proceedings Paper	7th International Conference on Computers in Education (ICCE 99)	NOV 04-07, 1999	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL, CHIBA, JAPAN	Asia-Pacific Chapter Assoc Adv Comp Educ, Univ ElectroCommun, Chiba Inst Technol, Japan Soc Educ Technol, Japan Soc Informat & Syst Educ	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL	education data mining; interactive learning system; improving classroom teaching		Recorded presentations in the form of lectures, conference proceedings, commercial demonstrations or tutorial, are becoming increasingly available in multiple, diverse, and often heterogeneous formats. These materials are stored in databases or digital libraries where the user can search by a variety of mechanisms, ranging from keyword search to content-based queries. In this paper, we focus on tracking the presenter's pointing activity during a Lecture, and how this information can be used to provide the user with an improved overview of the Lecture to quickly navigate to those points that the user might find the most interesting. The strength of this approach lies in the combination of the pointing actions of the lecturer with a visualization profiles of the recorded lectures. Exploiting the tracking of the human-computer interaction during lectures Is not only educational but also a valuable user interface facility for digital library access, adding an effective search "modality" in Locating more complicated information. In the absence of complete transcripts or manually added annotations, which are expensive to generate given the quantity of recorded lectures, the Level and type of interaction of the presenter with the presented material can be analyzed to yield likely points of interest.	Dartmouth Coll, Dept Comp Sci, Hanover, NH 03755 USA	Steinberg, T (reprint author), Dartmouth Coll, Dept Comp Sci, Hanover, NH 03755 USA.						Fayyad U. M., 1996, ADV KNOWLEDGE DISCOV; FORD J, 1998, MULTIMEDIA TOOLS APP, V6; MUELLER R, IN PRESS ACM SPRINGE; OWEN CB, 1998, THESIS DARTMOUTH COL; OWEN CB, 1998, MUTLIMEDIA TOOLS APP, V6; OWEN CB, 1999, HDB MULTIMEDIA COMPU, P403; RUS D, 1995, LECT NOTES COMPUTER; SHAFER JC, 1996, P 22 INT C VER LARG; Wilcox L. D., 1997, C P HUMAN FACTORS CO, P186	9	0	0	0	0	I O S PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	0922-6389		1-58603-027-2	FR ART INT			1999	55						149	156						8	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Computer Science	BP27L	WOS:000084548600022					2018-12-03	
S	Sen, M; Fox, GC; McCracken, NJ		Cumming, G; Okamoto, T; Gomez, L		Sen, M; Fox, GC; McCracken, NJ			Assessment in web education: An architecture view of web usage mining and student records	ADVANCED RESEARCH IN COMPUTERS AND COMMUNICATIONS IN EDUCATION, VOL 2: NEW HUMAN ABILITIES FOR THE NETWORKED SOCIETY	FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS		English	Proceedings Paper	7th International Conference on Computers in Education (ICCE 99)	NOV 04-07, 1999	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL, CHIBA, JAPAN	Asia-Pacific Chapter Assoc Adv Comp Educ, Univ ElectroCommun, Chiba Inst Technol, Japan Soc Educ Technol, Japan Soc Informat & Syst Educ	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL	data mining technology in education; distance education; web architectures for educational technology systems		Advances in technology have made possible new educational methodologies, including those involved in distance learning. However, these methodologies need new assessment tools, which may also take advantage of the new technologies. The techniques of data mining can use these potential technologies to improve assessment. We suggest a software architecture combining data mining and commodity technologies in an educational environment. In this paper, we discuss the technical and architectural issues of data mining to analyze the usage of web-based course materials and how to combine this information with education-specific data collections such as course registrations and quizzes.	Syracuse Univ, NE Parallel Architectures Ctr, Syracuse, NY 13244 USA	Sen, M (reprint author), Syracuse Univ, NE Parallel Architectures Ctr, 111 Coll Pl, Syracuse, NY 13244 USA.						BERNHOLDT DE, 1998, SYNCHRONOUS LEARNING; COOLEY R, 1997, P 9 IEEE INT C TOOLS; PITKOW J, 1997, P 6 INT WORLD WID WE; WU KL, SPEEDTRACER	4	0	0	0	3	I O S PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	0922-6389		1-58603-027-2	FR ART INT			1999	55						197	200						4	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Computer Science	BP27L	WOS:000084548600032					2018-12-03	
S	Dietinger, T; Gutl, C; Maurer, H; Pivec, M		Cumming, G; Okamoto, T; Gomez, L		Dietinger, T; Gutl, C; Maurer, H; Pivec, M			Targeted information retrieval	ADVANCED RESEARCH IN COMPUTERS AND COMMUNICATIONS IN EDUCATION, VOL 2: NEW HUMAN ABILITIES FOR THE NETWORKED SOCIETY	FRONTIERS IN ARTIFICIAL INTELLIGENCE AND APPLICATIONS		English	Proceedings Paper	7th International Conference on Computers in Education (ICCE 99)	NOV 04-07, 1999	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL, CHIBA, JAPAN	Asia-Pacific Chapter Assoc Adv Comp Educ, Univ ElectroCommun, Chiba Inst Technol, Japan Soc Educ Technol, Japan Soc Informat & Syst Educ	UNIV ELECTROCOMMUN, CHIBA INST TECHNOL	Data Mining Technology in Education; information retrieval; information structuring; documents clustering; Web based ITS/CAI; information relevance improvement		The goal of targeted information retrieval is to get more relevant information, which is task and user specific and may be used for adaptive problem solving. Possible problems and their solutions are discussed with emphasis on collaborative knowledge transfer environments. Distributed knowledge gathering and knowledge clustering as a quality improvement of information gained is described in the main part of the paper. The impact of relevant information obtained for the improvement of the learning process is presented.	Graz Univ Technol, IICM, A-8010 Graz, Austria	Dietinger, T (reprint author), Graz Univ Technol, IICM, A-8010 Graz, Austria.						DIETINGER T, 1999, J UCS, V5, P2; DIETINGER T, 1998, P WEBN 98 ORL FLOR, P244; Fayyad U. M., 1996, ADV KNOWLEDGE DISCOV; GUTL C, 1998, FUTURE INFORMATION H; HODGINS W, 1998, LEARNING OBJECT META, V21; HORWATH J, 1999, THESIS TU GRAZ, P30; RIEDER J, 1997, INTERNET PROFESSIONA, P111; ROTZER F, 1999, SUCHMASCHINEN SIND E; Weibel S, 1998, DUBLIN CORE METADATA	9	0	0	0	0	I O S PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	0922-6389		1-58603-027-2	FR ART INT			1999	55						355	358						4	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications	Computer Science	BP27L	WOS:000084548600059					2018-12-03	
B	Cortez, EM		Woods, L		Cortez, EM			Planning and implementing a high performance knowledge base	ASIS 99: PROCEEDINGS OF THE 62ND ASIS ANNUAL MEETING, VOL 36, 1999: KNOWLEDGE: CREATION ORGANIZATION AND USE	PROCEEDINGS OF THE ASIS ANNUAL MEETINGS		English	Proceedings Paper	62nd Annual Meeting of the American-Society-for-Information-Science on Knowledge - Creation, Organization and Use	OCT 31-NOV 04, 1999	WASHINGTON, D.C.	Amer Soc Informat Sci			RETRIEVAL; DESIGN	This paper discusses the conceptual framework for developing a rapid-prototype high-performance knowledge base for the four mission agencies of the U.S. Department of Agriculture and their university partners. These agencies include the Cooperative State Research, Education, Economic Service (CSREES), the Agricultural Research Service (ARS), the Economic Research Service (ERS), and the National Agriculture Statistical Service (NASS). The knowledge base, known as REEIS (Research, Education, Economic Information System), is a data mining application, where data are extracted from text, moved into different formats, allowing then the data mining features to run inferences, visualize connections, etc. - all generated automatically. Described are alternative data mining models along with the generalized approach to building a Warehouse architecture. Also described is the methodology used for translating system requirements into specifications and for building the REEIS prototype. The method, known as the "Rational Unified Process", is one of iteration, quality assessment, and visual modeling. The two major obstacles in the project were the normalization of disparate data repositories, and the ability to achieve an acceptable level of semantic interoperability. A metadata vocabulary model is presented to address these obstacles.	Univ Wisconsin, Sch Lib & Informat Studies, Madison, WI 53706 USA							BATES MJ, 1989, ONLINE REV, V13, P407, DOI 10.1108/eb024320; BELKIN NJ, 1982, J DOC, V38, P61, DOI 10.1108/eb026722; Borgman CL, 1996, J AM SOC INFORM SCI, V47, P493, DOI 10.1002/(SICI)1097-4571(199607)47:7<493::AID-ASI3>3.0.CO;2-P; Harter SP, 1996, J AM SOC INFORM SCI, V47, P37; KUHLTHAU CC, 1991, J AM SOC INFORM SCI, V42, P361, DOI 10.1002/(SICI)1097-4571(199106)42:5<361::AID-ASI6>3.0.CO;2-#; SVENONIUS E, 1986, J AM SOC INFORM SCI, V37, P331, DOI 10.1002/asi.4630370509	6	0	0	0	0	INFORMATION TODAY INC	MEDFORD	143 OLD MARLTON PIKE, MEDFORD, NJ 08055 USA			1-57387-091-9	P ASIS ANN			1999	36						161	171						11	Computer Science, Information Systems; Information Science & Library Science	Computer Science; Information Science & Library Science	BP82C	WOS:000086299400014					2018-12-03	
S	Kokol, P; Zorman, M; Podgorelec, V; Habjanic, A; Medos, T; Brumec, M		Sloot, P; Bubak, M; Hoekstra, A; Hertzberger, B		Kokol, P; Zorman, M; Podgorelec, V; Habjanic, A; Medos, T; Brumec, M			Decision trees - A CIM tool in nursing education	HIGH-PERFORMANCE COMPUTING AND NETWORKING, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE		English	Article; Proceedings Paper	7th International Conference and Exhibition on High-Performance Computing and Networking (HPCN EUROPE 99)	APR 12-14, 1999	AMSTERDAM, NETHERLANDS	Dutch HPCN Fdn, Dutch Org Sci Res, Univ Amsterdam				Better health care for all and an overall health care restructuring are two of the most important processes that will, in addition to many existent assignments, expose many new tasks and responsibilities for the nursing personnel. Each of these responsibilities entails information as input and also generates information as the output, and in the near future it is to be expected that most of the information processing including data gathering, decision making support, data mining and information generation will be performed by computers. To cope with this new situation, the nurses have to be armed with proper knowledge and thereafter the proper education will play a very important role. In this manner we started an EU project called NICE, which one of the main objectives is to develop new computer managed educational tools for nursing.	Univ Maribor, Fac Elect Engn & Comp Sci, SLO-2000 Maribor, Slovenia; Univ Maribor, Coll Nursing Studies, SLO-2000 Maribor, Slovenia; House Elderly, Maribor 2000, Slovenia	Kokol, P (reprint author), Univ Maribor, Fac Elect Engn & Comp Sci, Smetanova 17, SLO-2000 Maribor, Slovenia.		Podgorelec, Vili/M-7665-2014				ATHAPPILLY KK, 1994, MULTIMEDIA COMPUTING; BALL MJ, 1995, NURSING INFORMATICS; BATHANY BH, SYSTEM PRACTICE, V8; BELFRY JM, 1988, COMPUTERS NURSIN MAR; CAMBRE ML, 1993, STATUS INTERACTIVE V; Checkland P., 1981, SYSTEMS THINKING SYS; CHECKLAND P, 1990, SOFT SYSTEMS METHODO; CONRICK M, 1998, AEJNE, V4; CURTIS CM, 1990, COMP STUDY EFFECTIVE; GLEYDURA J, 1995, MULTIMEDIA TRAINING; GREGORY WJ, SYSTEM PRACTICE, V6; HABJANIC A, UNPUB CARE SOFTWARE; HARDIN L, 1998, MED TEACHER, V20; HAUS K, 1996, CHANGES PERCEPTION C; HEBDA T, 1988, COMPUTERS NURSIN NOV; HOVENGA EJS, 1998, P HTE 98 U ATH; JEFFCUTT P, SYSTEM PRACTICE, V10; JELOVSEK FR, 1993, MD COMPUTING     OCT; KHOINY F, 1995, COMPUTERS NURSIN JUL; KOHL JE, 1995, COMPUTER ASSISTED IN; KOKOL P, 1996, STUDIES HLTH TECHNOL, V34, pA501; KOKOL P, 1998, P HTE 98 U ATH; KOKOL P, 1997, 1 REPORT NICE PROJEC; MARUYAMA G, SYSTEM PRACTICE, V9; Russell S., 1995, ARTIF INTELL, P525; Skinner B. F., 1953, SCI HUMAN BEHAV; WILLIAMSON M, 1994, BYTE             DEC	27	0	0	0	1	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743		3-540-65821-1	LECT NOTES COMPUT SC			1999	1593						951	958						8	Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods	Computer Science	BQ39Q	WOS:000088252100096					2018-12-03	
