PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Zhang, AJ; Wu, RQ; Yu, WF		Li, M		Zhang Aijun; Wu Ruqi; Yu Wenfang			Ontology based personalized E-learning system	Advanced Computer Technology, New Education, Proceedings			English	Proceedings Paper	2nd International Conference on Computer Science and Education	JUL 25-27, 2007	Wuhan, PEOPLES R CHINA	Zhongnan Univ Econ & Law, Xiamen Univ, IEEE Control Syst Soc, Singapore Chapter, Univ Melbourne, Univ Virginia, Natl Univ Singapore		ontology; personalized learning; data mining; distant education		Under the network learning environment, how to provide personalized learning based on personal characteristics has been an important problem for distant education. This paper presented an ontology based distant learning system, in which the knowledge is represented through ontology to construct sharable and reusable learning material. The learning material could be dynamically recomposed on the basis of personal characteristics and teaching goal, and personalized learning unit would be recommended to the right students, so as to realize the personalized recommendation of learning content.	Zhejiang Gongshang Univ, Coll Comp & Informat Engn, Hangzhou 310035, Zhe Jiang, Peoples R China	Zhang, AJ (reprint author), Zhejiang Gongshang Univ, Coll Comp & Informat Engn, Hangzhou 310035, Zhe Jiang, Peoples R China.						*ADLI, 2005, SHAR CONT OBJ REF MO; Beckett D., RDF XML SYNTAX SPECI; BRICKLEY D, RDF VOCABULARY DESCR; [程静 CHENG Jing], 2006, [西南师范大学学报. 自然科学版, Journal of Southwest China Normal University. Natural Science], V31, P120; CONNOLY D, 2001, ANNOTATED DAML OIL O; FARINAS L, 1994, J INTELLIGENT SYSTEM, V9, P119; GRUBER TR, 1993, KNOWL ACQUIS, V5, P199, DOI 10.1006/knac.1993.1008; Guarino N., 1998, FORMAL ONTOLOGY INFO, P6; HARMELEN F, OWL WEB ONTOLOGY LAN; Horrocks I., ONTOLOGY INFERENCE L; Kaiden R., 2002, Internet and Higher Education, V5, P399, DOI 10.1016/S1096-7516(02)00125-2; Liu Jun, 2006, Journal of Software, V17, P79, DOI 10.1360/jos170079; MACGREGOR R, 1987, LOOM KNOWLEDGE REPRE, P87; Shen R., 2002, P 5 INT WORKSH INT C, P19; XU ZN, 2002, REPRESENTATION PROCE	15	0	0	0	0	XIAMEN UNIV PRESS	FUJIAN	XIAMEN, FUJIAN, 361005, PEOPLES R CHINA			978-7-5615-2825-9				2007							859	864						6	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science, Software Engineering; Telecommunications	Computer Science; Telecommunications	BGQ59	WOS:000249782700185					2018-12-03	
B	Gao, L; Zheng, SJ; Shu, WN; Su, Y		Li, M		Gao Li; Zheng Shijue; Shu Wanneng; Su Ying			A search algorithm in distance education	Advanced Computer Technology, New Education, Proceedings			English	Proceedings Paper	2nd International Conference on Computer Science and Education	JUL 25-27, 2007	Wuhan, PEOPLES R CHINA	Zhongnan Univ Econ & Law, Xiamen Univ, IEEE Control Syst Soc, Singapore Chapter, Univ Melbourne, Univ Virginia, Natl Univ Singapore		data mining; genetic algorithm; association rules; distance education	ASSOCIATION RULES; DATABASES	The development of data mining systems has received a great deal of attention in recent years. One of the challenges in developing data mining systems is to integrate and coordinate existing data mining applications in a seamless manner so that cost-effective systems can be developed without the need of costly proprietary products. The popularity of distance education has grown rapidly over the last decade in higher education, yet many fundamental teaching-learning issues are still in debate. This paper presents an approach for classifying students in order to predict their final grade based on features extracted from logged data in an education web-based system. In this paper we take advantage of the genetic algorithm (GA) designed specifically for discovering association rules. We propose a novel spatial mining algorithm, called ARMNGA(Association Rules Mining in Novel Genetic Algorithm), Compared to the algorithm in Reference[2], the ARMNGA algorithm avoids generating impossible candidates, and therefore is more efficient in terms of the execution time.	Huazhong Normal Univ, Dept Comp Sci, Wuhan 430079, Peoples R China	Gao, L (reprint author), Huazhong Normal Univ, Dept Comp Sci, Wuhan 430079, Peoples R China.						Chen GQ, 2002, INFORM SCIENCES, V147, P201, DOI 10.1016/S0020-0255(02)00264-5; [高丽 Gao li], 2003, [河南大学学报. 自然科学版, Journal of Henan University. Natural Science], V33, P55; Hsu PY, 2004, INFORM SCIENCES, V166, P31, DOI 10.1016/j.ins.2003.05.013; Koperski K, 1995, LECT NOTES COMPUT SC, V951, P47; Minaei-Bidgoli Behrouz, USING GENETIC ALGORI; WU ZH, 2005, COMPUT APPL, V25, P1009; Zheng S., 2006, IEEE INT C SERV OP L, P46, DOI DOI 10.1109/SOLI.2006.328980	7	0	0	0	1	XIAMEN UNIV PRESS	FUJIAN	XIAMEN, FUJIAN, 361005, PEOPLES R CHINA			978-7-5615-2825-9				2007							1210	1212						3	Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science, Software Engineering; Telecommunications	Computer Science; Telecommunications	BGQ59	WOS:000249782700259					2018-12-03	
S	Schonbrunn, K; Hilbert, A		Decker, R; Lenz, HJ		Schoenbrunn, Karoline; Hilbert, Andreas			Data mining in higher education	ADVANCES IN DATA ANALYSIS	Studies in Classification Data Analysis and Knowledge Organization		English	Proceedings Paper	30th Annual Conference of the German-Classification-Society	MAR 08-10, 2006	Freie Univ Berlin, Berlin, GERMANY	German Classificat Soc	Freie Univ Berlin			The aim of this paper is the critical discussion of different data mining methods in the context of the demand-oriented development of bachelor and master study courses at german universities. The initial point of the investigation was the question, to what extent the knowledge concerning the selection of the so-called "Fachkernkombinationen" (major fields of study) at the Fakultat Wirtschaftswissenschaften of the Technische Universitat Dresden, could be used to provide new important and therefore demand-oriented impulses for the development of new bachelor and master courses. In order to identify these entrainment combinations it is obvious to examine the combinations of the major fields of study by means of different data mining methods. Special attention applies to the association analysis which is classical used within the ranges trade (basket analysis) or e-business (web content and web Usage mining) - an application in the higher education management is missing until now.	Tech Univ Dresden, Fak Wirtschaftswissenschaften, Professor Wirtschasinformat Insb Informat Syst, D-01062 Dresden, Germany	Schonbrunn, K (reprint author), Tech Univ Dresden, Fak Wirtschaftswissenschaften, Professor Wirtschasinformat Insb Informat Syst, D-01062 Dresden, Germany.	schoenbrunn@wiid.wiwi.tu-dresden.de; hilbert@wiid.wiwi.tu-dresden.de					Bollinger T., 1996, Informatik Spektrum, V19, P257, DOI 10.1007/s002870050036; BRUGGEMEIER M, 2004, GRUNDBEGRIFFE HOCHSC; GOLA P, 2005, BDSG BUNDESDATENSCHU; GOPFRICH H, 2002, MENSCH NETZ UBIQUITO; LUAN J, 2004, DATA MINING HIGHER E; NECKEL P, 2005, CUSTOMER RELATIONSHI; SPIEWAK M, 2005, DIE ZEIT        0519, V21; Tan P. N., 2006, INTRO DATA MINING; TOPPER A, 2004, MANAGEMENT CRM PROJE; ZANGER C, 2005, UNIVERSITATSMARKETIN	10	1	1	0	1	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	1431-8814		978-3-540-70980-0	STUD CLASS DATA ANAL			2007							489	+		10.1007/978-3-540-70981-7_56				2	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications	Computer Science	BGC71	WOS:000246055000056					2018-12-03	
S	Cortez, P; Rio, M; Sousa, P; Rocha, M		MarquesDeSa, J; Alexandre, LA; Duch, W; Mandic, D		Cortez, Paulo; Rio, Miguel; Sousa, Pedro; Rocha, Miguel			Topology aware Internet traffic forecasting using Neural Networks	ARTIFICIAL NEURAL NETWORKS - ICANN 2007, PT 2, PROCEEDINGS	Lecture Notes in Computer Science		English	Proceedings Paper	17th International Conference on Artificial Neural Networks (ICANN 2007)	SEP 09-13, 2007	Oporto, PORTUGAL	European Neural Network Soc, Int Neural Network Soc, Japanese Neural Network Soc, IEEE Comp Intelligence Soc, European Assoc Signal & Image Proc, Inst Engenhar Biomed, Univ Beira Interior, Inst Super Engenhar Porto, Reitor Univ Porto, UP, Dept Engenhar Elect Computadores, Inst Politecn Porto, Fund Cienc Tecnol, Fund Luso-Amer Desenvolvimento, Fund Calouste Gulbenkian, Microsoft Res Cambridge Lab, Portugal Telecom		link mining; multilayer perceptrons; multivariate time series; network monitoring; traffic engineering		Forecasting Internet traffic is receiving an increasing attention from the computer networks domain. Indeed, by improving this task efficient traffic engineering and anomaly detection tools can be developed, leading to economic gains due to better resource management. This paper presents a Neural Network (NN) approach to predict TCP/IP traffic for all links of a backbone network, using both univariate and multivariate strategies. The former uses only past values of the forecasted link, while the latter is based on the neighbor links of the backbone topology. Several experiments were held by considering real-world data from the UK education and research network. Also, different time scales (e.g. every ten minutes and hourly) were analyzed. Overall, the proposed NN approach outperformed other forecasting methods (e.g. Holt-Winters).	[Cortez, Paulo] Univ Minho, R&D Algoritmi Ctr, Dept Informat Syst, P-4800058 Guimaraes, Portugal; [Rio, Miguel] UCL, Dept Elect & Elect Engn, London WC1E 7JE, England; [Sousa, Pedro; Rocha, Miguel] Univ Minho, Dept Informat, P-4710059 Braga, Portugal	Cortez, P (reprint author), Univ Minho, R&D Algoritmi Ctr, Dept Informat Syst, P-4800058 Guimaraes, Portugal.	pcortez@dsi.uminho.pt; m.rio@ee.ucl.ac.uk; pns@di.uminho.pt; mrocha@di.uminho.pt	Rocha, Miguel/B-9404-2011; Cortez, Paulo/A-2674-2008; Sousa, Pedro/M-6546-2013	Rocha, Miguel/0000-0001-8439-8172; Cortez, Paulo/0000-0002-7991-2090; Sousa, Pedro/0000-0001-5193-0513			BABIARZ R., 2006, LECT NOTES COMPUTER, V3976, P111; Cortez P, 2004, J HEURISTICS, V10, P415, DOI 10.1023/B:HEUR.0000034714.09838.1e; Cortez P., 2006, P 2006 INT JOINT C N, P4942; GETOOR L, 2005, SIGKDD EXPLOR NEWSL, V7, P3, DOI DOI 10.1145/1117454.1117456; Hastie T., 2001, ELEMENTS STAT LEARNI; HE Q, 2005, P SIGCOMM 05 PHIL US; Jiang J., 2004, Journal of Network and Systems Management, V12, P51, DOI 10.1023/B:JONS.0000015698.32353.61; KRISHNAMURTHY B., 2003, P INT MEAS C IMC 03; LAPEDES A, 1987, LAUR872662 LOS ALAMO; Makridakis S, 1998, FORECASTING METHODS; MOLLER MF, 1993, NEURAL NETWORKS, V6, P525, DOI 10.1016/S0893-6080(05)80056-5; Papagiannaki K, 2005, IEEE T NEURAL NETWOR, V16, P1110, DOI 10.1109/TNN.2005.853437; *R DEV COR TEAM, 2006, R LANG ENV STAT COMP; Reinsel G. C., 2003, ELEMENTS MULTIVARIAT; Stallings W., 1999, SNMP SNMPV2 SNMPV3 R; Tang Z., 1993, ORSA Journal on Computing, V5, P374; Taylor JW, 2006, INT J FORECASTING, V22, P1, DOI 10.1016/j.ijforecast.2005.06.006; Tong HH, 2004, PROCEEDINGS OF THE 2004 INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS, VOLS 1-7, P3129, DOI 10.1109/ICMLC.2004.1378572; Witten IH, 2005, DATA MINING PRACTICA	19	6	6	0	1	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743	1611-3349	978-3-540-74693-5	LECT NOTES COMPUT SC			2007	4669						445	+						2	Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods	Computer Science	BGQ65	WOS:000249783400046					2018-12-03	
S	Yang, SW; Wildemuth, BM; Kim, SH; Murthy, U; Pomerantz, JP; Oh, S; Fox, EA		Goh, DHL; Cao, TH; Solvberg, IT; Rasmussen, E		Yang, Seungwon; Wildemuth, Barbara M.; Kim, Seonho; Murthy, Uma; Pomerantz, Jeffrey P.; Oh, Sanghee; Fox, Edward A.			Further development of a digital library curriculum: Evaluation approaches and new tools	ASIAN DIGITAL LIBRARIES: LOOKING BACK 10 YEARS AND FORGING NEW FRONTIERS, PROCEEDINGS	Lecture Notes in Computer Science		English	Proceedings Paper	10th International Conference on Asian Digital Libraries	DEC 10-13, 2007	Hanoi, VIETNAM	Minist Sci & Technol, IEEE Tech Comm Digital Lib		digital library; curriculum; education; evaluation; superimposed information; community visualization		This paper is a follow-up to our ICADL 2006 paper, reporting on our progress over the past year in developing a digital library curriculum. It presents and describes the current curriculum framework, which now includes ten modules and 41 sub-modules. It provides an over-view of the curriculum development lifecycle, and our progress through that lifecycle. In particular, it reports on our evaluation of the modules that have been drafted. It concludes with a description of two new technologies - Superimposed Information (SI) to help resource presentation in a module and Visual User model Data Mining (VUDM) to help long-term module upgrade by visualizing the user community and its trends.	[Yang, Seungwon; Kim, Seonho; Murthy, Uma; Fox, Edward A.] Virginia Tech, Dept Comp Sci, Blacksburg, VA 24061 USA; [Wildemuth, Barbara M.; Pomerantz, Jeffrey P.; Oh, Sanghee] Univ N Carolina, Sch Informat & Lib Sci, Chapel Hill, NC 27599 USA	Yang, SW (reprint author), Virginia Tech, Dept Comp Sci, Blacksburg, VA 24061 USA.	seungwon@vt.edu; wildem@ils.unc.edu; shk@vt.edu; umurthy@vt.edu; jpom@email.unc.edu; shoh@email.unc.edu; fox@vt.edu		Oh, Sanghee/0000-0001-5956-7296	US NSF [IIS-0535057]; UNC-CH [IIS-0535060]	Funded by US NSF Grants IIS-0535057 to VT and IIS-0535060 to UNC-CH for 2006-2008.	BOEHM BW, 1988, IEEE COMPUT, V21, P61, DOI DOI 10.1109/2.59; CHOI Y, D LIB MAGAZINE, V12, P9; DIAMOND RM, 1998, DESIGNING ASSESSING; *DL CURR PROJ GROU, 2006, COLL RES CURR DEV DI; Goncalves MA, 2004, ACM T INFORM SYST, V22, P270, DOI 10.1145/984321.984325; GONCALVES MA, 2002, P 2 ACM IEEE CS JOIN, P263; GONCALVES MA, 2004, THESIS COMPUTER SCI; GRUNERT J, 1997, COURSE SYLLABUS; Gustafson K, 1997, SURVEY INSTRUCTIONAL; Kim S, 2006, LECT NOTES COMPUT SC, V4312, P111; Maier D., 1999, WEBDB INF P, P1; MURTHY S, 2004, 1 AS PAC C CONC MOD, P71; MURTHY U, 2006, SIDEWALK VIRGINIA TE; POMERANTZ J, 2006, DLIB MAGAZINE, V12, P11; Pomerantz J., 2006, P 6 ACM IEEE CS JOIN, P175; Pomerantz J, 2007, PROCEEDINGS OF THE 7TH ACM/IEE JOINT CONFERENCE ON DIGITAL LIBRARIES, P177, DOI 10.1145/1255175.1255208; Wiggins G. P, 2005, UNDERSTANDING DESIGN	17	4	4	0	2	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743		978-3-540-77093-0	LECT NOTES COMPUT SC			2007	4822						434	+						2	Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Theory & Methods; Information Science & Library Science	Computer Science; Information Science & Library Science	BHC05	WOS:000252143400055					2018-12-03	
B	Ogor, EN				Ogor, Emmanuel N.			Student academic performance monitoring and evaluation using data mining techniques	CERMA 2007: ELECTRONICS, ROBOTICS AND AUTOMOTIVE MECHANICS CONFERENCE, PROCEEDINGS	Electronics, Robotics and Automotive Mechanics Conference (CERMA)		English	Proceedings Paper	Electronics, Robotics and Automotive Mechanics Conference	SEP 25-28, 2007	Cuernavaca, MEXICO	Univ del Sol, Centro Nacl Investigac & Desarrollo Technol, IEEE Student Branch, Univ del Sol, IEEE Student Branch CENIDET, IEEE Comp Soc, IEEE Robot & Automat Soc, IEEE Vehicular Technol Soc, Microsoft, intel, AMD, IBM, Solar Digital, Texax Instruments Steren, Holiday Inn, Duracell, Natl Instruments, Estafeta, Bosch, Delphi, Bridgestone, Firestone, ABB, Gonher, CRYA, SAE Int, Peugeot, Nissan, Nissan, Nagoya, SEAT, Honda, Cuernavaca Motors GM, Cresta, Chevrolet, Toyota, GM		DM; DMT; KD; decision rules; assessment; performance monitoring; stakeholders		Assessment as a dynamic process produces data that reasonable conclusions are derived by stakeholders for decision making that expectedly impact on students' learning outcomes. The data mining methodology while extracting useful, valid patterns from higher education database environment contribute to proactively ensuring students maximize their academic output. This paper develops a methodology by the derivation of performance prediction indicators to deploying a simple student performance assessment and monitoring system within a teaching and learning environment by mainly focusing on performance monitoring of students' continuous assessment (tests) and examination scores in order to predict their final achievement status upon graduation. Based on various data mining techniques (DMT) and the application of machine learning processes, rules are derived that enable the classification of students in their predicted classes. The deployment of the prototyped solution, integrates measuring, 'recycling' and reporting procedures in the new system to optimize prediction accuracy.			ogor@tciway.tc					ALLENBY GM, 1999, J ECONOMETRICS; BARKER K, 2004, P 2004 SYST INF ENG, P79; Blaxton T., 1998, DATA MINING SOLUTION; Council N. R., 2001, KNOWING WHAT STUDENT; Delavari Naeimeh, 2005, ITHET 6 ANN INT C JU, pF4B; FRAWLEY WJ, 1997, KNOWLEDGE DISCOVERY, P1; LAKSHMINARAYAN K., 1996, P 2 INT C KNOWL DISC, P140; LUAN J, 2001, AIR C LONG BEACH CA, P1; Luan J., 2002, DATA MINING KNOWLEDG; Luau J., 2002, DATA MINING ITS APPL; MICHALSKI RS, 1978, 897 ISG; Nolan J, 1998, AAAI IAAI P, P1134; RUBENKING N, 2001, PC MAGAZINE     0522; Shavelson R., 2002, SCI RES ED; Waiyamai K, 2003, IMPROVING QUALITY GR; Yorke M, 1999, LEAVING EARLY UNDERG	16	9	9	1	3	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			978-0-7695-2974-5	ELECT ROBOT AUTO MEC			2007							354	359		10.1109/CERMA.2007.4367712				6	Computer Science, Artificial Intelligence; Computer Science, Cybernetics; Engineering, Electrical & Electronic; Engineering, Mechanical	Computer Science; Engineering	BHB09	WOS:000252026700061					2018-12-03	
S	Li, XY; Luo, Q; Yuan, JS	VanAlbada, GD	Shi, Y; Dongarra, J; Sloot, PMA		Li, Xinye; Luo, Qi; Yuan, Jinsha	VanAlbada, GD		Personalized recommendation service system in E-learning using Web intelligence	COMPUTATIONAL SCIENCE - ICCS 2007, PT 3, PROCEEDINGS	Lecture Notes in Computer Science		English	Proceedings Paper	7th International Conference on Computational Science (ICCS 2007)	MAY 27-30, 2007	Beijing, PEOPLES R CHINA	Chinese Acad Sci, Res Ctr Data Technol & Knowledge Econ, AMID, Springer, World Sci Publishing, Univ Nebraska, CAS, Grad Univ, Chinese Acad Sci, Inst Policy & Management, Univ Amsterdam		E-learning; data mining; web intelligence; personality		Personalized education is a very hot topic in distant research. To realize personalized E-learning, a personalized recommendation service system was proposed and realized. Web technologies of personality and adaptive filtering were applied in the system. The structure of system, workflow and key technologies of realizing feature selection module, user interest module, personalized teaching resources filtering module were introduced in the paper.	[Li, Xinye; Yuan, Jinsha] N China Elect Power Univ, Dept Elect & Commun Engn, Baoding 071003, Peoples R China; [Luo, Qi] Wuhan univ Sci & Technol, Zhongnan Branch, Informat Engn Sch, Wuhan, Peoples R China; [Luo, Qi] Southwest univ, Coll Engn & Technol, Chongqing, Peoples R China	Li, XY (reprint author), N China Elect Power Univ, Dept Elect & Commun Engn, Baoding 071003, Peoples R China.	yljh654@sina.com; ccnu_luo2008@yahoo.com.cn					FENG SC, 2004, COMPUTER ENG DESIGN; HU T, 2003, COMPUTER ENG BEIJING, V29, P25; LUO Q, 2005, P CAAI 11 WUH, P1458; NIE X, 2005, INFORM SCI J, V23, P1; ROBERTSON S, 2001, P 9 TEXT RETR C TREC, P25; YANWEN W, 2004, P 2 INT C KNOWL EC D, P6; YU L, 2004, SYSTEM ENG THEORY AP, P96	7	0	0	0	0	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743		978-3-540-72587-9	LECT NOTES COMPUT SC			2007	4489						531	+						2	Computer Science, Theory & Methods	Computer Science	BGH50	WOS:000246993500086					2018-12-03	
B	Vranic, M; Pintar, D; Skocir, Z		Car, Z; Kusek, M		Vranic, M.; Pintar, D.; Skocir, Z.			The use of data mining in education environment	CONTEL 2007: PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON TELECOMMUNICATIONS			English	Proceedings Paper	9th International Conference on Telecommunications (ConTEL 2007)	JUN 13-15, 2007	Zagreb, CROATIA	Univ Zagreb, Fac Elect Engn & Comp, IEEE Croatia Sect, IEEE Commun Soc Croatia Chapter, IEEE Reg 8, IEEE Commun Soc, Minist Sci Educ & Sport, VMD Promet, Agrokor, T-Mobile Hrvatska, Mobis Elect, VIPnet				Modern technologies allow storage of large amounts of raw data which invariably contains usable information not yet discovered. Machine learning and data mining give us techniques which can be used to analyze that data and uncover previously unknown rules and associations, hidden knowledge which once acquired - and properly interpreted - can be used in multitude of ways. Even though data mining has mostly been used by the marketing field, lately it is not uncommon to use machine learning techniques in other environments. This paper presents how data mining algorithms and techniques can be used in the academic community to potentially improve some aspects of education quality.	[Vranic, M.; Pintar, D.; Skocir, Z.] Univ Zagreb, Fac Elect Engn & Comp, Zagreb, Croatia	Vranic, M (reprint author), Univ Zagreb, Fac Elect Engn & Comp, Zagreb, Croatia.	mihaela.vranic@fer.hr; damir.pintar@fer.hr; zoran.skocir@fer.hr					Banek M, 2006, LECT NOTES COMPUT SC, V4243, P237; FISCHER S, 2001, ACM J ED RESOURCES C, V1; Ma Yiming, 2000, P 6 ACM SIGKDD INT C; PERESS R, 2007, IEEE I, V31, P14; Witten IH, 2005, DATA MINING PRACTICA	5	7	7	0	0	UNIV ZAGREB, FAC ELECT ENGN COMP	ZAGREB	UNSKA 3, 10000 ZAGREB, CROATIA			978-953-184-110-8				2007							243	+						2	Engineering, Electrical & Electronic; Optics; Telecommunications	Engineering; Optics; Telecommunications	BGO13	WOS:000248919600039					2018-12-03	
B	Gong, MM; Luo, Q		Guo, QP		Gong, Mingmin; Luo, Qi			Personality mining system in web based education by using improved association rules mining method	DCABES 2007 Proceedings, Vols I and II			English	Proceedings Paper	International Symposium on Distributed Computing and Applications to Business, Engineering and Science	AUG 14-17, 2007	Yichang, PEOPLES R CHINA	Wuhan Univ Technol, Comp Acad Assoc, Minist Educ, Natl Nat Sci Fdn China		e-Learning; mining; algorithm; association rules; personality		To meet the personalized needs of Web based education, an improved association mining rules was proposed in the paper. First, data cube from database was established. Then, frequent item-set that satisfies the minimum support on data cube was mined out. Furthermore, association rules of frequent item-set were generated. Finally, redundant association rules through the relative method in statistics were wiped off. The algorithm had two advantages, the first was that the execution time was short while searching for the frequent item-set; the second was that the precision of the rules was high. The algorithm was also used in personality mining system based on Web based education model. The result manifested that the algorithm was effective.	Wuhan Univ Sci & Technol, Dept Informat Engn, Zhongnan Branch, Wuhan 430223, Peoples R China	Gong, MM (reprint author), Wuhan Univ Sci & Technol, Dept Informat Engn, Zhongnan Branch, Wuhan 430223, Peoples R China.						HAN J, 2001, DATA MINING CONCEPT, P100; LINA L, 2001, MINIMICRO SYSTEM, V21, P942; Liu Jun, 2004, J XIAN JIAOTONG U, V38, P575; SHIZHUAN Y, 2006, MICROELECTRONICS COM, P66; YANWEN W, 2006, LECT NOTES COMPUTER, V3942, P115; Yuan Wei, 2002, STAT INFORM FORUM, P5	6	0	0	0	0	HUBEI SCI TECHNOL PRESS	WUHAN	75 HUANGLI RD, WUHAN 430077, WUCHANG, PEOPLES R CHINA			978-7-5352-3854-2				2007							1025	1028						4	Computer Science, Hardware & Architecture; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods	Computer Science	BGW74	WOS:000250998700260					2018-12-03	
J	Bodea, C				Bodea, Constanta			Artificial intelligence techniques applied to the evaluation of the research and technology development projects and programmes	ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH			English	Article						KPI; RTD project; RTD programme; data mining; project portfolio; indicator template		The paper presents the specific ways in which indicators and artificial intelligence methods and tools can be used for the evaluation of research projects and programmes. The author's research purpose is to improve the programme ex post evaluation and ex ante impact assessment thought the development of a improved set of strong integrated research performance indicators, structured according to the results chains and comprehensively described using a standard indicator template; the development of data sets and databases for projects and programmes evaluation and, finally the development of projects and programmes evaluation techniques, based on database and machine learning technologies. Using these methods a new and better understanding of the scientific, technological, human resources, structuring, economic, social, environmental etc impacts of national and European research programmes is possible. The research is financed by the Minister of Education and Research, IDEI programme.	Acad Econ Studies, Econ Informat Dept, Bucharest, Romania	Bodea, C (reprint author), Acad Econ Studies, Econ Informat Dept, Bucharest, Romania.						[Anonymous], 2002, PROPOSED STANDARD PR; FAHRENKROG G, 2002, RTD EVALUATION TOOLB; GHEORGIOU L, 2002, ASSESSING SOCIO EC I; 2002, USE EVALUATION COMMI; 1999, MANAGING NATL INNOVA	5	2	2	4	16	ACAD ECONOMIC STUDIES	BUCHAREST	15-17 CALEA DOROBANTI, SECTOR 1, BUCHAREST, 00000, ROMANIA	0424-267X	1842-3264		ECON COMPUT ECON CYB	Econ. Comput. Econ. Cybern. Stud.		2007	41	3-4					141	150						10	Economics; Mathematics, Interdisciplinary Applications	Business & Economics; Mathematics	339KE	WOS:000258575700012					2018-12-03	
