PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Cortez, P; Silva, A		Brito, AC; Teixeira, JMF		Cortez, Paulo; Silva, Alice			Using data mining to predict secondary school student performance	15TH EUROPEAN CONCURRENT ENGINEERING CONFERENCE/5TH FUTURE BUSINESS TECHNOLOGY CONFERENCE			English	Proceedings Paper	15th European Concurrent Engineering Conference (ECEC 2008)/5th Future Business Technology Conference (FUBUTEC 2008)	APR 09-11, 2008	Univ Porto, Oporto, PORTUGAL	ETI, EUROSIS, Daimler AG, FEUP, Avnet 3D, Ghent Univ	Univ Porto	Business Intelligence in education; classification and regression; decision trees; random forest		Although the educational level of the Portuguese population has improved in the last decades, the statistics keep Portugal at Europe's tail end due to its high student failure rates. In particular, lack of success in the core classes of Mathematics and the Portuguese language is extremely serious. On the other hand, the fields of Business Intelligence (BI)/Data Mining (DM), which aim at extracting high-level knowledge from raw data, offer interesting automated tools that can aid the education domain,in. The present work intends to approach student achievement in secondary education using BI/DM techniques. Recent real-world data (e.g. student grades, demographic, social and school related features) was collected by using school reports and questionnaires. The two core classes (i.e. Mathematics and Portuguese) were modeled under binary/five-level classification and regression tasks. Also, four DM models (i.e. Decision Trees, Random Forest, Neural Networks and Support Vector Machines) and three input selections (e.g. with and without previous grades) were tested. The results show that a, good predictive accuracy can be achieved, provided that the first and/or second school period grades are available. Although student achievement is highly influenced by past evaluations, an explanatory analysis has shown that there are also other relevant features (e.g. number of absences, parent's job and education, alcohol consumption). As a, direct outcome of this research, more efficient student prediction tools can be be developed, improving the quality of education and enhancing school resource management.	[Cortez, Paulo; Silva, Alice] Univ Minho, Dept Informat Syst, Algoritmi R&D Ctr, P-4800058 Guimaraes, Portugal			Cortez, Paulo/A-2674-2008	Cortez, Paulo/0000-0002-7991-2090			Breiman L, 2001, MACH LEARN, V45, P5, DOI 10.1023/A:1010933404324; Breiman L., 1984, CLASSIFICATION REGRE; CORTEZ P, IN PRESS INTRO ADV S; *EUR, 2007, EARL SCH LEAV; FLEXER A, 1996, P 13 EUR M CYB SYST, V2, P1005; Hastie T., 2001, ELEMENTS STAT LEARNI; Kotsiantis S, 2004, APPL ARTIF INTELL, V18, P411, DOI 10.1080/08839510490442058; Luan Jing, 2002, NEW DIRECTIONS I RES, V113, P17; Ma Y., 2000, P 6 ACM SIGKDD INT C, P457, DOI 10.1145/347090.347184; Minaei-Bidgoli B., 2003, P 33 INT C FRONT ED, pT2A; PARDOS Z, 2006, P 8 INT C INT TUT SY; Pritchard ME, 2003, J COLL STUDENT DEV, V44, P18, DOI 10.1353/csd.2003.0008; *R DEV COR TEAM, 2006, R LANG ENV STAT COMP; Turban E., 2007, BUSINESS INTELLIGENC; Witten IH, 2005, DATA MINING PRACTICA	15	23	23	1	8	EUROSIS	GHENT	GHENT UNIV, COUPURE LINKS 653, GHENT, B-9000, BELGIUM			978-90-77381-39-7				2008							5	12						8	Business; Computer Science, Information Systems; Engineering, Electrical & Electronic; Management	Business & Economics; Computer Science; Engineering	BHR10	WOS:000255590500001					2018-12-03	
S	Pumpuang, P; Srivihok, A; Praneetpolgrang, P; Nulnprasertchai, S			IEEE	Pumpuang, Pathom; Srivihok, Anongnart; Praneetpolgrang, Prasong; Nulnprasertchai, Somchai			Using Bayesian Network for Planning Course Registration Model for Undergraduate students	2008 2ND IEEE INTERNATIONAL CONFERENCE ON DIGITAL ECOSYSTEMS AND TECHNOLOGIES	IEEE International Conference on Digital Ecosystems and Technologies		English	Proceedings Paper	2nd IEEE International Conference on Digital Ecosystems and Technologies	FEB 26-29, 2008	Phitsanuloke, THAILAND	IEEE		Data mining; Bayesian Network; Planning Course Registration	EDUCATION	The objective of this study is to propose a model for planning course registration by using a data mining technique: Bayesian Network. The proposed model can be used to predict the sequences of courses to be registered by undergraduate students whose majors are computer science or engineering. The data set was obtained from student enrolments and include GPA and grades in each subject for first and second year students from a private university in Thailand. Evaluations show that the predictive power of this model is acceptable. The implications from this study's findings suggest that the model can be applied for advising students in planning courses to be registered in each semester. Further, the model appears to be useful for improving curriculum development in order to fit both students' and university requirements.	[Pumpuang, Pathom; Srivihok, Anongnart] Kasetsart Univ, Fac Sci, Dept Comp Sci, Bangkok, Thailand; [Praneetpolgrang, Prasong] Sripatum Univ, Master Sci Program Informat Technol, Grad Sch, Bangkok, Thailand; [Nulnprasertchai, Somchai] Kasetsart Univ, Fac Engn, Dept Comp Sci, Bangkok, Thailand	Pumpuang, P (reprint author), Kasetsart Univ, Fac Sci, Dept Comp Sci, Bangkok, Thailand.	g4764231@kuac.th; fsciang@kuac.th; prasong.pr@spu.ac.th; snp@ku.ac.th					Garcia P, 2007, COMPUT EDUC, V49, P794, DOI 10.1016/j.compedu.2005.11.017; Hsia TC, 2008, EXPERT SYST APPL, V34, P596, DOI 10.1016/j.eswa.2006.09.025; KIJSIRIKUL B, 2003, ARTIFICIAL INTELLIGE; WAIYAMAI K, 2000, NECTEC TECHNICAL J, V3, P134; Witten IH, 2005, DATA MINING PRACTICA; Xenos M, 2004, COMPUT EDUC, V43, P345, DOI 10.1016/j.compedu.2003.09.005; YINGKUACHAT J, 2006, RES INNOVATIONS SUST	7	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2150-4938		978-1-4244-1489-5	I C DIGIT ECOSYST TE			2008							375	+						2	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BJC56	WOS:000264749700059					2018-12-03	
S	Zhao, HL			IEEE	Zhao, Hua-long			Application of OLAP to the Analysis of the Curriculum Chosen by Students	2008 2ND INTERNATIONAL CONFERENCE ON ANTI-COUNTERFEITING, SECURITY AND IDENTIFICATION	Proceedings of the International Conference on Anti-counterfeiting Security and Identification		English	Proceedings Paper	2nd International Conference on Anti-Counterfeiting, Security and Indentification	AUG 20-23, 2008	Guiyang, PEOPLES R CHINA	IEEE, Hong Kong Sect, Guizhou Normal Univ, Xiamen Univ		Data Warehouse; OLAP; Dimensional Table; Fact Table; Star Model		With development of the scale of higher education, more and more data about curriculum chosen by students has been produced. This paper analyzes the application of data warehouse, on-line analytical processing and data mining on the analysis of curriculum chosen by students, accomplishes the design of data warehouse about universities curriculum chosen by students, extracts and transforms curriculum chosen by students data and then loads them into the data warehouse. This paper builds curriculum chosen by students multidimensional cube analysis data model by taking use of OLAP technology, and realizes the query, analysis and show of curriculum chosen by students multidimensional data, so it can analyze the curriculum's establishment situation from many angles, and serve the university teaching decision support system.	Dezhou Univ, Dept Geog, Dezhou 253023, Shandong, Peoples R China	Zhao, HL (reprint author), Dezhou Univ, Dept Geog, Dezhou 253023, Shandong, Peoples R China.	Zhl1970@dzu.edu.cn					FAN B, 2007, SYSTEMS ENG THEORY P, V11, P87; LI K, 2007, J SW JIAOTONG U, V4, P86; LI LH, 2004, COMPUTER PROJECT APP, V20, P30; NGUYEN TB, 2000, LECT NOTES COMPUTER; PEDERSEN D, 2002, 13 AUSTR DAT C; STEFANOVIE N, 2004, IEEETRANSACLIONS KNO, V12, P938; THOMSEN E, 2004, OLAP SOLUTIONS BUILD; WANG C, 2007, COMPUTER INFORM TECH, P85; [王成良 WANG Chengliang], 2006, [计算机工程, Computer Engineering], V32, P84	9	4	4	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2163-5048		978-1-4244-2584-6	PROC INT CONF ANTI			2008							97	100		10.1109/IWASID.2008.4688341				4	Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Computer Science; Engineering	BJE43	WOS:000265147800023					2018-12-03	
B	Selmoune, N; Alimazighi, Z			IEEE	Selmoune, Nazih; Alimazighi, Zaia			A decisional tool for quality improvement in higher education	2008 3RD INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES: FROM THEORY TO APPLICATIONS, VOLS 1-5			English	Proceedings Paper	3rd International Conference on Information and Communication Technologies	APR 07-11, 2008	Damascus, SYRIA			Data warehouse; Data Mining; multidimensional model; OLAP		In the actual economical context, characterized by the competition pressures, the use of decisional tools become a valuable advantage to make the difference. The concepts of data warehouse, multidimensional model and data mining, are essentials in the design and the deployment of such tools. In this paper we describe the design and implementation of a decisional tool, dedicated to a no lucrative goal institution. Our case study is a university that hopes to improve the quality of his service, by analyzing the pedagogical results, to discover the success and failure factors, and attempt to increase success chances of students. In this perspective we use OLAP (Online Analytical Process) and association rules discovery techniques.	[Selmoune, Nazih; Alimazighi, Zaia] USTHB, LSI, Algiers, Algeria	Selmoune, N (reprint author), USTHB, LSI, Algiers, Algeria.	selmoune@lsi-usthb.dz; alimazighi@wissal.dz					BRET F, 2001, INGENERIE SYSTEMES I; CHAUDHURI S, 1997, DATA WAREHOUSING OLA; Codd E. F., 1993, PROVIDING OLAP USER; GARDARIN G, 2000, INTERNET INTRANET BA; Inmon W. H., 1996, COMMUNICATION ACM, V39; Kimball R., 2000, CONCEVOIR DEPLOYER D; SELMOUNE N, 2005, P SETIT 2005 SOUSS T; SELMOUNE N, 2006, P EUR C E LEARN ECEL	8	0	0	1	2	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4244-1751-3				2008							1684	1689						6	Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic; Telecommunications	Computer Science; Engineering; Telecommunications	BIP38	WOS:000261578001013					2018-12-03	
B	Zhang, XL; Liu, GR			IEEE	Zhang, Xiaolong; Liu, Guirong			Score Data Analysis for Pre-warning Students in University	2008 4TH INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS, NETWORKING AND MOBILE COMPUTING, VOLS 1-31	International Conference on Wireless Communications, Networking and Mobile Computing		English	Proceedings Paper	4th International Conference on Wireless Communications, Networking and Mobile Computing	OCT 12-17, 2008	Dalian, PEOPLES R CHINA	IEEE Commun Soc, IEEE Antennas & Propagat Soc, Dalian Univ Technol, Wuhan Univ, Sci Res Publishing		Score Data Analysis; College Education Quality; Pre-warning Students; Data Mining		This paper describes a case study of score data analysis for the pre-warning students of a university. The analytical method includes statistical approach and data mining. Through statistical analysis for given pre-warning student score data, the present situation and trend, as well as relevant pre-warning information can be acquired. By associating technique, association rules about the curricula show the dependence and relationship among pre-warning courses. The discovered patterns are helpful for decision making, as well as improvement of the quality of college education in a university.	[Zhang, Xiaolong; Liu, Guirong] Wuhan Univ Sci & Engn, Sch Comp Sci & Technol, Wuhan 430073, Peoples R China	Zhang, XL (reprint author), Wuhan Univ Sci & Engn, Sch Comp Sci & Technol, Wuhan 430073, Peoples R China.	xiaolong.zhang@wust.edu.cn; lgr_bb@126.com					AGRAWAL R, 1993, SIGMOD C JUN; CABENA P, 1998, DISCOVERING DATA MIN; FRAWLEY W, 1992, AI MAGAZINE      FAL; HAN J, 2006, DATA MINING CONCEPTS; Hipp J., 2000, ALGORITHMS ASS RULE; KANTARDZIC M, 2003, DATA MINING CONCEPTS; Pei J, 2001, PROC INT CONF DATA, P433, DOI 10.1109/ICDE.2001.914856; Smyth P, 2001, PRINCIPLES DATA MINI; Zaki Mohammed J., 2001, SPADE EFFICIENT ALGO	9	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4244-2107-7	I C WIREL COMM NETW			2008							11405	11408						4	Telecommunications	Telecommunications	BIW81	WOS:000263466105150					2018-12-03	
S	Ghanem, AM; Tawfik, B; Owis, MI			IEEE	Ghanem, A. M.; Tawfik, B.; Owis, M. I.			AN EFFICIENT STRATEGY FOR PACS	2008 CAIRO INTERNATIONAL BIOMEDICAL ENGINEERING CONFERENCE	Cairo International Biomedical Engineering Conference		English	Proceedings Paper	Cairo International Biomedical Engineering Conference	DEC 18-20, 2008	Cairo, EGYPT			PACS; Virtual distributed system; Prediction system; Association rule mining		Conventional PACS systems are designed based on centralized data repository architecture, for integrity and security reasons. This design is highly sensitive to escalation in number of retrieval and storage operations, which represents a major limitation that reduces the efficiency of PACS used in applications that require repetitive data access e.g. medical education and medical decision support systems. In this work, we propose two techniques to overcome this limitation, without changing the PACS architecture. The first one, is based on reducing the number of data requests on PACS archiving server using a virtual distributed system; the second one, is based on redistributing data requests over time, using a prediction system. Simulation results show significant improvement in performance up to several orders of magnitude compared to conventional PACS design.	[Ghanem, A. M.] Suez Canal Univ, Fac Informat Syst, Ismailia, Egypt; [Tawfik, B.; Owis, M. I.] Cairo Univ, Dept Biomed Engn, Giza, Egypt	Ghanem, AM (reprint author), Suez Canal Univ, Fac Informat Syst, Ismailia, Egypt.	ahmed@optimal-sys.com					Agrawal R., 1993, SIGMOD Record, V22, P207, DOI 10.1145/170035.170072; AGRAWAL R, 1994, P 20 INT C VER LARG, P487, DOI DOI 10.1109/69.250074; GHANEM AM, 2001, SPIE MED IM S PACS I; GHANEM AM, 2001, SPIE MED IM S IM PRO; Lee AJT, 2007, INFORM SCIENCES, V177, P3453, DOI 10.1016/j.ins.2007.03.007; Tung AKH, 2003, IEEE T KNOWL DATA EN, V15, P43, DOI 10.1109/TKDE.2003.1161581; WEHRLE T, 2000, PHILIPS MEDICAMU MAR, V44, P52; Wong STC, 1999, IEEE COMMUN MAG, V37, P84, DOI 10.1109/35.739310	8	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2156-6097		978-1-4244-2694-2	CAIRO INT BIOM ENG			2008							321	+						2	Engineering, Biomedical	Engineering	BJH62	WOS:000265913600071					2018-12-03	
S	Ribeiro, B; Cardoso, A			IEEE	Ribeiro, Bernardete; Cardoso, Alberto			Evaluation System for E-Learning with Pattern Mining Tools	2008 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS (SMC), VOLS 1-6	IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS, CONFERENCE PROCEEDINGS		English	Proceedings Paper	IEEE International Conference on System, Man, and Cybernetic	OCT 12-15, 2008	Singapore, SINGAPORE	IEEE		Pattern Mining; E-Learning		Learning in online open networking environments turned out possible by today's widespread use of Internet technologies, has led to the development of a broad range of products for web-based courses at University level. However, although e-learning in education is well established, there are a few attempts to extract information during the course final evaluation phase. In other words, while evaluation of e-learning applications has boosted the need to design effective methodologies for better tools, little attention was devoted to extract information for discovery of student's behavior. In this paper, we use weblog-based framework to analyze the navigational behavior in the students' evaluation phase of a purpose-built e-learning course. An important feature of this framework is that extraction of behavior is achieved by building selective models of pattern mining. Our approach uses semisupervised and supervised learning techniques, such as, neural networks (NN) and Support Vector Machines (SVM), to build prediction models able to track student's behavior. The data sets were obtained from student's logs in a Moodle designed Course at the University level. The results show the model is able to successfully predict students' final outcome while bringing useful feedback during course learning.	[Ribeiro, Bernardete; Cardoso, Alberto] Univ Coimbra, Dept Comp Sci, Ctr Informat & Syst, Coimbra, Portugal	Ribeiro, B (reprint author), Univ Coimbra, Dept Comp Sci, Ctr Informat & Syst, Coimbra, Portugal.	bribeiro@dei.uc.pt; alberto@dei.uc.pt		Cardoso, Alberto/0000-0003-1824-1075			ARDITO C, 2006, NORDICHI; BANG J, 2006, ENHANCING LEARNING T, P124; BANG J, 2005, E LEARNING TERTIARY; Barnett V., 1994, OUTLIERS STAT DATA; Barwise Jon, 2002, LANGUAGE PROOF LOGIC; BRUSILOVSKY P, 1998, INT C INT TUT SYST; BURGES CJC, 1998, DATA MIN KNOWL DISC, V2, P2, DOI DOI 10.1023/A:1009715923555; Cole J., 2005, USING MOODLE; CORTES C, 1995, MACH LEARN, V20, P273, DOI 10.1023/A:1022627411411; CRISTIANINI N, 2000, SUPPORT VECTOR MACHI; Cucker F., 2001, B AM MATH SOC, V39, P1; GARCIA CRH, 2006, LECT NOTES COMPUTER, V1, P887; Haykin S, 1999, NEURAL NETWORKS COMP; ITMAZI JAS, 2005, THESIS U GRANADA SPA; Kurgan LA, 2006, KNOWL ENG REV, V21, P1, DOI 10.1017/S0269888906000738; Lam P., 2007, J INTERACTIVE LEARNI, V18, P365; LI J, 2004, INT C EL COMM WEB TE; Moore A. W, 2000, P 17 INT C MACH LEAR, P727; Pontil M, 1998, NEURAL COMPUT, V10, P955, DOI 10.1162/089976698300017575; Rice W, 2006, MOODLE E LEARNING CO; Romero C, 2007, EXPERT SYST APPL, V33, P135, DOI 10.1016/j.eswa.2006.04.005; Rosen K. H, 2006, DISCRETE MATH ITS AP; Scoles K, 2000, IEEE T EDUC, V43, P125, DOI 10.1109/13.848063; SRIVASTAVA J, 2000, J ACM, P142; Ssemugabi S., 2007, P 2007 ANN RES C S A, P132, DOI DOI 10.1145/1292491.1292507; VAPNIK V, 1999, NATURE STAT LEARNING	26	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1062-922X		978-1-4244-2383-5	IEEE SYS MAN CYBERN			2008							3050	3055						6	Computer Science, Artificial Intelligence; Computer Science, Cybernetics; Engineering, Electrical & Electronic; Imaging Science & Photographic Technology	Computer Science; Engineering; Imaging Science & Photographic Technology	BKT54	WOS:000269197301202					2018-12-03	
B	Yu, YH; Zhan, XS; Song, JD		Li, S; Pan, W; Yong, J		Yu, Yanhua; Zhan, Xiaosu; Song, Junde			Server Load Prediction Based on Improved Support Vector Machines	2008 IEEE INTERNATIONAL SYMPOSIUM ON IT IN MEDICINE AND EDUCATION, VOLS 1 AND 2, PROCEEDINGS			English	Proceedings Paper	IEEE International Symposium on IT in Medicine and Education	DEC 12-14, 2008	Xiamen, PEOPLES R CHINA	Xiamen Univ, Lanzhou Univ, Henan Univ Technol, Fujian Assoc Artificial Intelligence, Gansu Soc Informat Technol Educ, IEEE Beijing Sect, Wuhan Univ Technol, E China Normal Univ, Shandong Normal Univ, Birmingham City Univ, Univ SE Queensland		server load; Support Vector Machines; white noise		To provide e-learning service more efficiently and effectively, Data mining technique have been applied in web-based distance education such as personalised service provision, server load prediction, etc. In web-based e-learning system, web server is the key and core component. In this paper, a novel server load prediction model is put forward by employing Support Vector Machines (SVM). In addition, an approach to select free parameters of SVM is introduced which select parameters by checking if the training residual is while noise. Theoretical analysis and Experimental result has shown that by using this approach, server load prediction with high precision can be achieved.	[Yu, Yanhua; Zhan, Xiaosu; Song, Junde] Beijing Univ Posts & Telecommun, Sch Elect Engn, Beijing 1000876, Peoples R China		yhyu_bupt@sina.com.cn					Axelberg PGV, 2007, IEEE T POWER DELIVER, V22, P1297, DOI 10.1109/TPWRD.2007.900065; CADZOW JA, 1983, IEEE T AERO ELEC SYS, V19, P49, DOI 10.1109/TAES.1983.309419; CAO LJ, 2004, IEEE T SIGNAL PROCES, V52, P1506; CHANG CC, 2006, LIBSVM LIB SUPPORT V; DENG NY, 2004, NEW METHOD DATA MINI, P154; [李捷 Li Jie], 2007, [电子与信息学报, Journal of Electronics & Information Technology], V29, P1224; MUKHERJEE S, 1995, P IEEE NNSP 97 AM IS, P273; Rong Hai-Na, 2006, Journal of System Simulation, V18, P3204; Sebald DJ, 2000, IEEE T SIGNAL PROCES, V48, P3217, DOI 10.1109/78.875477; Shi ZW, 2007, IEEE T NEURAL NETWOR, V18, P359, DOI 10.1109/TNN.2006.885113; Vapnik V. N., 1995, NATURE STAT LEARNING; Versace M, 2004, EXPERT SYST APPL, V27, P417, DOI 10.1016/j.eswa.2004.05.018; [郑小霞 Zheng Xiaoxia], 2006, [计算机工程与应用, Computer Engineering and Application], V42, P77	13	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4244-2510-5				2008							838	842		10.1109/ITME.2008.4743985				5	Education & Educational Research; Engineering, Electrical & Electronic; Medical Informatics	Education & Educational Research; Engineering; Medical Informatics	BIU55	WOS:000262930600172					2018-12-03	
B	Fu, T		Wang, J; Zhao, C; Wu, Y; Liu, Q		Fu, Ting			The Research of E-learning Resources' Construction based on the Discovery-Driven Exploration of Data Cubes	2008 IEEE INTERNATIONAL SYMPOSIUM ON KNOWLEDGE ACQUISITION AND MODELING WORKSHOP PROCEEDINGS, VOLS 1 AND 2			English	Proceedings Paper	International Symposium on Knowledge Acquisition and Modeling	DEC 21-22, 2008	Wuhan, PEOPLES R CHINA	IEEE Comp Soc, IEEE		the construction of E-learning resources; data mining; discovery-driven exploration; based on the density outlier detection		The construction of e-learning, that user must add new values to the E-learning resources by adding their collective intelligence to the sites they visit. So it is important to concern the influence of the individual. This research introduces data mining of discovery-driven exploration methods for the Special visitors in some Community were suspected. And the data distribution for the education level of visitors virtually the same, the three residual numbers of Selfexp, Inexp, Pathexp determined by improving, used the values of LOF (p) based on the density Outlier Detection.	NW Univ Nationalities, China Minor Informat Technol Inst, Lanzhou, Peoples R China	Fu, T (reprint author), NW Univ Nationalities, China Minor Informat Technol Inst, Lanzhou, Peoples R China.	bright821@163.com					CHEN XD, NETWORK ENV INTERDIS; Chong F., ARCHITECTURE STRATEG; Han J, 1997, P 7 IFIP 2 6 WORK C, V2, P1; Han Jiawei, DATA MINING CONCEPTS; HAN JW, 1998, ISSUES ON LINE ANAL; O'Reilly Tim, WHAT IS WEB 2 0	6	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4244-3529-6				2008							1098	1101		10.1109/KAMW.2008.4810685				4	Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Mathematics, Applied	Computer Science; Engineering; Mathematics	BJK52	WOS:000266694700283					2018-12-03	
B	Song, CX; Ma, K			IEEE Computer Society	Song, Chang-xin; Ma, Ke			Applications of Data Mining in the Education Resource Based on XML	2008 INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER THEORY AND ENGINEERING			English	Proceedings Paper	International Conference on Advanced Computer Theory and Engineering (ICACTE 2008)	DEC 20-22, 2008	Phuket, THAILAND	Int Assoc Comp Sci & Informat Technol				As the quick development of Internet, more and more application of XML data description appears in the Internet. How to access the knowledge we need effectively among numerous XML data is becoming a main research direction. This paper studies the data mining of XML document initially, divides the mining of XML document into structure mining and content mining, introduces the knowledge to analyze by using the data mining, such as classification, assembly and relevancy and also analyzes the mould of mining data according to some typical educational resources.	[Song, Chang-xin; Ma, Ke] Qinghai Normal Univ, Xining 810008, Peoples R China	Song, CX (reprint author), Qinghai Normal Univ, Xining 810008, Peoples R China.	scx@qhnu.edu.cn					DECKER S, 2000, IEEE EXPERT      OCT, V15; DUNN H, COLLECTION LEVEL DES; GAROFALAKIS M, P 2 INT WORKSH WEB I; NAYAK R, 2002, P 2002 INT C INT COM	4	0	0	0	1	IEEE COMPUTER SOC	LOS ALAMITOS	10662 LOS VAQUEROS CIRCLE, PO BOX 3014, LOS ALAMITOS, CA 90720-1264 USA			978-0-7695-3489-3				2008							943	946		10.1109/ICACTE.2008.170				4	Computer Science, Theory & Methods; Engineering, Electrical & Electronic	Computer Science; Engineering	BIV29	WOS:000263135200184					2018-12-03	
