PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Yang, F; Wu, Z				Yang, F.; Wu, Z.			WEB COMMENT MINING OF ONLINE COURSE IN THE VIEW OF DATA-DRIVEN EDUCATION	BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY																													1742-7835	1742-7843				MAR	2018	122			2	SI	HHME17-Z14	26	26										WOS:000427562000092						
J	Bharara, S; Sabitha, S; Bansal, A				Bharara, Sanyam; Sabitha, Sai; Bansal, Abhay			Application of learning analytics using clustering data Mining for Students' disposition analysis	EDUCATION AND INFORMATION TECHNOLOGIES												Learning Analytics (LA) is an emerging field in which sophisticated analytic tools are used to improve learning and education. It draws from, and is closely tied to, a series of other fields of study like business intelligence, web analytics, academic analytics, educational data mining, and action analytics. The main objective of this research work is to find meaningful indicators or metrics in a learning context and to study the inter-relationships between these metrics using the concepts of Learning Analytics and Educational Data Mining, thereby, analyzing the effects of different features on student's performance using Disposition analysis. In this project, K-means clustering data mining technique is used to obtain clusters which are further mapped to find the important features of a learning context. Relationships between these features are identified to assess the student's performance.																	1360-2357	1573-7608				MAR	2018	23	2					957	984		10.1007/s10639-017-9645-7								WOS:000427173100020						
J	Maldonado-Mahauad, J; Perez-Sanagustin, M; Kizilcec, RF; Morales, N; Munoz-Gama, J				Maldonado-Mahauad, Jorge; Perez-Sanagustin, Mar; Kizilcec, Rene F.; Morales, Nicolas; Munoz-Gama, Jorge			Mining theory-based patterns from Big data: Identifying self-regulated learning strategies in Massive Open Online Courses	COMPUTERS IN HUMAN BEHAVIOR												Big data in education offers unprecedented opportunities to support learners and advance research in the learning sciences. Analysis of observed behaviour using computational methods can uncover patterns that reflect theoretically established processes, such as those involved in self-regulated learning (SRL). This research addresses the question of how to integrate this bottom-up approach of mining behavioural patterns with the traditional top-down approach of using validated self-reporting instruments. Using process mining, we extracted interaction sequences from fine-grained behavioural traces for 3458 learners across three Massive Open Online Courses. We identified six distinct interaction sequence patterns. We matched each interaction sequence pattern with one or more theory-based SRI. strategies and identified three clusters of learners. First, Comprehensive Learners, who follow the sequential structure of the course materials, which sets them up for gaining a deeper understanding of the content. Second, Targeting Learners, who strategically engage with specific course content that will help them pass the assessments. Third, Sampling Learners, who exhibit more erratic and less goal-oriented behaviour, report lower SRL, and underperform relative to both Comprehensive and Targeting Learners. Challenges that arise in the process of extracting theory-based patterns from observed behaviour are discussed, including analytic issues and limitations of available trace data from learning platforms. (C) 2017 Elsevier Ltd. All rights reserved.					Maldonado-Mahauad, Jorge/0000-0003-1953-390X												0747-5632	1873-7692				MAR	2018	80						179	196		10.1016/j.chb.2017.11.011								WOS:000423650100018						
J	Wu, YL; Xie, L; Huang, SL; Li, P; Yuan, ZW; Liu, WH				Wu, Yinglin; Xie, Ling; Huang, Shiang-Lin; Li, Ping; Yuan, Zengwei; Liu, Wenhua			Using social media to strengthen public awareness of wildlife conservation	OCEAN & COASTAL MANAGEMENT												While heightening public awareness through social media can enhance wildlife conservation and management efforts, the influence of media content and quality in relation to these efforts is poorly understood. In this study, online news and related public comments on the Indo-Pacific humpback dolphin (Sousa chinensis), one of China's flagship species, was collected and evaluated to determine the performance of media news releases in strengthening public awareness. Media releases on the incidents of dolphins straying into freshwater systems at Dongping, Beijiang, and Baisha Rivers, in the Pearl River Delta of China were examined. WeChat, the largest social networking platform in China, was used as the data source. Generalized linear model (GLM) was used to test the news popularity by publisher type, title tone, picture counts, and word counts. Content analysis (CA) was used for mining wildlife conservation information in articles and identifying public opinions. GLM results showed that three publishers (traditional, governmental and private) as well as articles with more pictures attracted greater online readerships. CA results showed that articles were unable to popularize wildlife conservation knowledge, and the public was highly doubtful about conservation efforts by the government and experts. The finding here suggests that greater attention is needed for depicting and delivering conservation knowledge (e.g., rescue methods, biological features), negative impact on wildlife by diverse human behavior, and detailed proper descriptions to promote public awareness on wildlife conservation using multi-faceted thinking so as to reduce public misunderstanding of policymakers and experts. A. suggested concerted framework could help strengthen wildlife management through social media.				YUAN, Zengwei/B-9283-2014	YUAN, Zengwei/0000-0002-6533-4170												0964-5691	1873-524X				MAR 1	2018	153						76	83		10.1016/j.ocecoaman.2017.12.010								WOS:000424073400008						
J	Li, J; Wang, JP; Xu, N; Hu, YP; Cui, CY				Li, Jie; Wang, Jianping; Xu, Na; Hu, Yunpeng; Cui, Caiyun			Importance Degree Research of Safety Risk Management Processes of Urban Rail Transit Based on Text Mining Method	INFORMATION												China's urban rail transit (URT) construction is coming into the stage of rapid development under the guidance of national policies. However, the URT construction projects belong to high-risk projects and construction safety accidents occur frequently. Presently, safety risk management is in continuous development. Unfortunately, due to risk data deficiencies and lack of relationship between participants and safety risk factors, most of the research results cannot be well applied to URT projects. To overcome the limits, this paper has applied the text mining method into safety risk analysis. Through word frequency analysis and cluster analysis, 15 safety risk factors and 3 participants are identified from 156 accident reports. In addition, the accident descriptive model has been established, which is composed of indirect safety risk factors (management defects), direct safety risk factors and participants. In this model, each accident is the standardized description of the corresponding accident information. This is useful for risk data accumulation and analysis. Then the network structure analysis and risk assessment methods are utilized to make clear 63 relationships among participants, management defects and direct safety risk factors. Subsequently, the risk value of each relationship is evaluated. These safety risk information is integrated into the accident descriptive model by using accident points. Finally, ABC analysis which is a popular and effective method used to classify items into specific categories that can be managed and controlled separately is used to analyze the safety risk management's core process(A), important process(B) and general process(C) in the accident descriptive model. The research results show that the constructor should pay attention to construction coordination, safety specifications, safety measures and personnel education, the supervisor should attach importance to timely communication, the monitoring unit should pay attention to advanced forecast and dynamic control. The main research contributions are as follows: (1) A method of obtaining risk data from unstructured content has been provided; (2) The accident descriptive model could be utilized for risk data continuous accumulation; (3) The emphases of URT construction safety risk management are made clear.																	2078-2489					FEB	2018	9	2							26	10.3390/info9020026								WOS:000436147000002						
J	Du, BW; Du, YL; Xu, F; He, P				Du, Bowen; Du, Yanliang; Xu, Fei; He, Peng			Conception and Exploration of Using Data as a Service in Tunnel Construction with the NATM	ENGINEERING												The New Austrian Tunneling Method (NATM) has been widely used in the construction of mountain tunnels, urban metro lines, underground storage tanks, underground power houses, mining roadways, and so on. The variation patterns of advance geological prediction data, stress-strain data of supporting structures, and deformation data of the surrounding rock are vitally important in assessing the rationality and reliability of construction schemes, and provide essential information to ensure the safety and scheduling of tunnel construction. However, as the quantity of these data increases significantly, the uncertainty and discreteness of the mass data make it extremely difficult to produce a reasonable construction scheme; they also reduce the forecast accuracy of accidents and dangerous situations, creating huge challenges in tunnel construction safety. In order to solve this problem, a novel data service system is proposed that uses data-association technology and the NATM, with the support of a big data environment. This system can integrate data resources from distributed monitoring sensors during the construction process, and then identify associations and build relations among data resources under the same construction conditions. These data associations and relations are then stored in a data pool. With the development and supplementation of the data pool, similar relations can then be used under similar conditions, in order to provide data references for construction schematic designs and resource allocation. The proposed data service system also provides valuable guidance for the construction of similar projects. (C) 2018 THE AUTHORS. Published by Elsevier LTD on behalf of Chinese Academy of Engineering and Higher Education Press Limited Company.																	2095-8099	2096-0026				FEB	2018	4	1			SI		123	130		10.1016/j.eng.2017.07.002								WOS:000429782000017						
J	Gupta, P; Mehrotra, D; Sharma, TK				Gupta, Preeti; Mehrotra, Deepti; Sharma, Tarun Kumar			Role of decision tree in supplementing tacit knowledge for Hypothetico-Deduction in higher education	INTERNATIONAL JOURNAL OF SYSTEM ASSURANCE ENGINEERING AND MANAGEMENT												With a notion to create a knowledge centric environment, this paper substantiates the inclusion of data mining technique of decision tree for supplementing Hypothetico-Deductive methodology. Presently tacit knowledge plays an important role in the formulation of testable hypothesis from a theoretical framework of dependent and independent variables, identified for the system. The introduction of decision tree in Hypothetico-Deductive methodology concretizes a path towards knowledge creation. The case of a higher education institution is considered in particular.																	0975-6809	0976-4348				FEB	2018	9	1			SI		82	90		10.1007/s13198-016-0483-6								WOS:000427933000011						
J	Ionita, I; Ionita, L				Ionita, Irina; Ionita, Liviu			Classification Algorithms of Data Mining Applied for Demographic Processes	BRAIN-BROAD RESEARCH IN ARTIFICIAL INTELLIGENCE AND NEUROSCIENCE												Data mining is a generous field for researchers due to its various approaches on knowledge discovery in enormous volumes of data that are stored in different formats. At present, data are widely used all over the world, covering areas such as: education, industry, medicine, banking, inssurance companies, research laboratories, business, military domain etc. The major gain from applying data mining techniques is the discovery of unknown patterns and relations between data which can further help in the decision-making processes. There are two forms of data analysis used to extract models by describing important classes or to predict future data trends: classification and prediction. In this paper, the authors present a comparative study of classification algorithms (i.e. Decision Tree, Naive Bayes and Random Forest) that are currently applied to demographic data referring to death statistics using KNIME Analytics Platform. Our study was based on statistical data provided by the National Bureau of Statistics of the Republic of Moldova corresponding to years 2011 and 2012, data related to deaths and various classification attributes, such as causes of death, areas, sex, years and age groups. A detailed proposal on the possibilities to increase the models' accuracy was also provided in the paper. Our findings indicated that the highest accuracy was achieved by the Decision Tree model (over 90%).																	2067-3957					FEB	2018	9	1					94	100										WOS:000426964000009						
J	Poitras, EG; Doleck, T; Lajoie, SP				Poitras, Eric G.; Doleck, Tenzin; Lajoie, Susanne P.			Towards detection of learner misconceptions in a medical learning environment: a subgroup discovery approach	ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT												Ill-structured problems, by definition, have multiple paths to a solution and are multifaceted making automated assessment and feedback a difficult challenge. Diagnostic reasoning about medical cases meet the criteria of ill-structured problem solving since there are multiple solution paths. The goal of this study was to develop an adaptive feedback mechanism that is capable of identifying and responding to novice physician misconceptions by mining the log trace data of user interactions in BioWorld, a computer-based learning environment designed to support medical students in regulating their own diagnostic reasoning. We applied a series of text pre-processing algorithms to extract the linguistic features that characterized symptoms identified by 30 medical students solving three endocrinology cases: diabetes mellitus (type 1), Pheochromocytoma, and Hyperthyroidism. A subgroup discovery mining algorithm was applied in two steps. First, rules were induced to predict an incorrect diagnosis submitted as the final solution for a case on the basis of symptoms highlighted by medical students as being pertinent, that were in fact not pertinent. Second, rules were induced to predict a distractor hypothesis (an incorrect hypothesis listed as the most probable) during the differential diagnosis process while solving the case. The rule set discovered through the subgroup discovery task was shown to predict both incorrect and distractor hypotheses set by novice physicians while solving the case. We discuss the implications in terms of developing an adaptive feedback mechanism that can detect physicians' misconceptions and errors during problem-solving as a means to deliver prompts and feedback that promote the acquisition of metacognitive monitoring and control skills.																	1042-1629	1556-6501				FEB	2018	66	1					129	145		10.1007/s11423-017-9555-9								WOS:000425970900006						
J	Iqbal, MM; Saleem, Y; Naseer, K; Kim, M				Iqbal, Muhammad Munwar; Saleem, Yasir; Naseer, Kashif; Kim, Mucheol			Multimedia based student-teacher smart interaction framework using multi-agents in eLearning	MULTIMEDIA TOOLS AND APPLICATIONS												Multimedia content comprises the graphics, audio & video clips, animation and text to present learning materials in a style, which improves learner expectation in eLearning paradigm. Electronic learning gained the popularity due to its immense coverage of students and subjects all over the world. The aim of this study is enhancements using agent-based framework through multimedia data in eLearning paradigm. Analysis of multimedia contents and eLearning data are helpful for the course designers, teachers, and administrators of eLearning environments to hunt for undetected patterns and underlying data in learning processes. This research improves the learning curves for the students. It also needs to improve the overall processes in eLearning paradigm. Information and Communication Technologies supported education, and virtual classrooms environments are mandatory. In eLearning data is evolving day by day that includes the semi-structured data, unstructured data, and structured data which is also collectively marked as multimedia big data. Multimedia data has the potential to mining for the analytics and learning. The learning outcomes for the students are very important to find the facts that what impacts the input data on the student. There are 1108 students posted questions in online Learning Management System (LMS) and instructors reply these queries. Sensor data is also gathered by the mobile GPS to find the student location. The system has analyzed the relevance of the replied answers. The student satisfaction is achieved by providing the multimedia-based student-teacher interaction. This can lead to synchronous communication and multimedia content conversation in eLearning paradigm. Machine learning techniques are applied to that data to discover the patterns and behavioral trends. It can also be used in the eLearning environments for the teacher to assist and enhance the pedagogical skills and for student's learning curve enhancements.																	1380-7501	1573-7721				FEB	2018	77	4					5003	5026		10.1007/s11042-017-4615-z								WOS:000425296500051						
