PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Alalawi, SJS; Shaharanee, INM; Jamil, JM		Aziz, N; Zulkepli, J; Ahmad, N; Jamil, J		Alalawi, Sultan Juma Sultan; Shaharanee, Izwan Nizal Mohd; Jamil, Jastini Mohd			Profiling Oman Education Data using Data Visualization Technique	4TH INTERNATIONAL CONFERENCE ON QUANTITATIVE SCIENCES AND ITS APPLICATIONS (ICOQSIA 2016)	AIP Conference Proceedings		English	Proceedings Paper	4th International Conference on Quantitative Sciences and Its Applications (ICOQSIA)	AUG 16-18, 2016	Univ Utara Malaysia, Sch Quantitat, Putrajaya, MALAYSIA	Sunway Univ, Univ Kuala Lumpur, Univ Malaysia Sabah	Univ Utara Malaysia, Sch Quantitat			This research works presents an innovative data visualization technique to understand and visualize the information of Oman's education data generated from the Ministry of Education Oman "Educational Portal". The Ministry of Education in Sultanate of Oman have huge databases contains massive information. The volume of data in the database increase yearly as many students, teachers and employees enter into the database. The task for discovering and analyzing these vast volumes of data becomes increasingly difficult. Information visualization and data mining offer a better ways in dealing with large volume of information. In this paper, an innovative information visualization technique is developed to visualize the complex multidimensional educational data. Microsoft Excel Dashboard, Visual Basic Application (VBA) and Pivot Table are utilized to visualize the data. Findings from the summarization of the data are presented, and it is argued that information visualization can help related stakeholders to become aware of hidden and interesting information from large amount of data drowning in their educational portal.	[Alalawi, Sultan Juma Sultan; Shaharanee, Izwan Nizal Mohd; Jamil, Jastini Mohd] Univ Utara Malaysia, Sch Quantitat Sci, Sintok 06010, Kedah, Malaysia		sultanjuma44@gmail.com; nizal@uum.edu.my; jastini@uum.edu.my		Mohd Shaharanee, Izwan Nizal/0000-0002-3566-7257			Abrol V., 2013, INT J COMPUTER APPL, V71, P28; Agarwal S., 2012, INT J E ED E BUSINES, V2, P140; Al- Radaideh Q. A., 2009, INT AR C INF TECHN A; Han J, 2012, MOR KAUF D, P1; Mazumdar S, 2012, LECT NOTES COMPUT SC, V7117, P112, DOI 10.1007/978-3-642-25953-1_10; Ramaswami M., 2009, J COMPUTING, V1, P7; Vranic M, 2007, CONTEL 2007: PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON TELECOMMUNICATIONS, P243; West D., 2012, GOVT STUDIES BROOKIN	8	0	0	0	1	AMER INST PHYSICS	MELVILLE	2 HUNTINGTON QUADRANGLE, STE 1NO1, MELVILLE, NY 11747-4501 USA	0094-243X		978-0-7354-1444-0	AIP CONF PROC			2016	1782								020003	10.1063/1.4966057				5	Physics, Applied	Physics	BG8SL	WOS:000392693500003					2018-12-03	
S	Uddin, MF; Lee, J		Dagli, CH		Uddin, Muhammad Fahim; Lee, Jeongkyu			We Are What We Generate - Understanding Ourselves Through Our Data	COMPLEX ADAPTIVE SYSTEMS	Procedia Computer Science		English	Proceedings Paper	Conference on Engineering Cyber Physical Systems: Applying Theory to Practice	NOV 02-04, 2016	Los Angeles, CA	Missouri Univ Sci & Technol		Social networking data; data mining; personality computing and prediction; Big Five Personality Traits model	PERSONALITY-TRAITS	We have tendency to exhibit ourselves through the data we share about ourselves including, liking, friendship, follows, disliking, pictures, audio, videos, causes, blogs and sites. Such data about us have already been used by big data companies to create customized ads and marketing tactics. However, while such data being in unstructured and noisy format, utilization and research is at its early stages. In this paper, we elaborate on the idea of understanding individuals through lens of data they produce in context of our main research work for Predicting Educational Relevance For an Efficient Classification of Talent (PERFECT) algorithm engine. We illustrate some of research problems in relevance of such data and identify research problem as ground for this paper. We present sub set of our framework including algorithm and math constructs, for the problem we identify. We conclude that such analytics and cognitive research can help to improve education, healthcare, Job economy, crime control, etc. Thus we coin the phrase "we are what we generate", with our work in this paper. We suggest future work and opportunities in relevant directions. (C) 2016 The Authors. Published by Elsevier B.V.	[Uddin, Muhammad Fahim; Lee, Jeongkyu] Univ Bridgeport, Sch Engn & Comp Sci, Bridgeport, CT 06604 USA	Uddin, MF (reprint author), Univ Bridgeport, Sch Engn & Comp Sci, Bridgeport, CT 06604 USA.	muddin@bridgeport.edu					Adali S, 2012, 2012 IEEE/ACM INTERNATIONAL CONFERENCE ON ADVANCES IN SOCIAL NETWORKS ANALYSIS AND MINING (ASONAM), P302, DOI 10.1109/ASONAM.2012.58; Al-Shargabi AA, 2010, INT CONF COMPUT AUTO, P547, DOI 10.1109/ICCAE.2010.5451653; Bai ST, 2013, 2013 IEEE/WIC/ACM INTERNATIONAL JOINT CONFERENCES ON WEB INTELLIGENCE (WI) AND INTELLIGENT AGENT TECHNOLOGIES (IAT), VOL 1, P501, DOI 10.1109/WI-IAT.2013.70; Baker R. S. J., 2010, INT ENCY ED, V3, P112, DOI [DOI 10.1016/B978-0-08-044894-7.01318-X, 10.4018/978-1-59140-557-3.ch075]; Bishop C. M., 2006, PATTERN RECOGNIT, V4; Burges CJC, 1998, DATA MIN KNOWL DISC, V2, P121, DOI 10.1023/A:1009715923555; Byington TA, 2011, INTERV SCH CLIN, V46, P280, DOI 10.1177/1053451210395384; Celiktutan O., 2015, 2015 11 IEEE INT C W, V6026; Celiktutan O., 2016, IEEE T AFFECT COMPUT, V3045, P1; Cen L, 2015, 2015 IEEE INTERNATIONAL CONFERENCE ON DIGITAL SIGNAL PROCESSING (DSP), P502, DOI 10.1109/ICDSP.2015.7251923; Chittaranjan G, 2011, IEEE INT SYM WRBL CO, P29, DOI 10.1109/ISWC.2011.29; Cieciuch J. A. N., 2014, BIG 5 BELBIN; Currents C., 2011, LANGUAGE BALTIM, V89, P148; de Montjoye Yves-Alexandre, 2013, Social Computing, Behavioral-Cultural Modeling and Prediction. 6th International Conference, SBP 2013. Proceedings, P48, DOI 10.1007/978-3-642-37210-0_6; Dekker G., 2009, P 2 INT C ED DAT MIN, P41; El-Halees A., 2008, WORK; Eliss A., 2008, PERSONAL THEOR CRIT, P1; Epley N, 2008, SOC COGNITION, V26, P143, DOI 10.1521/soco.2008.26.2.143; Goga M, 2015, PROCD SOC BEHV, V180, P1481, DOI 10.1016/j.sbspro.2015.02.296; Golbeck J., 2011, CHI 11 HUM FACT COMP, P253, DOI DOI 10.1145/1979742.1979614; Goldberg L. R., 1982, ADV PERSONALITY ASSE, V1, P203; Gupta U, 2013, 2013 INTERNATIONAL SYMPOSIUM ON COMPUTATIONAL AND BUSINESS INTELLIGENCE (ISCBI), P182, DOI 10.1109/ISCBI.2013.44; Hien N. T. N., 2007, P FRONT ED C FIE, P1, DOI DOI 10.1109/FIE.2007.4417958; Hsu C., 2008, BJU INT, V101, P1396, DOI [http://dx.doi.org/10.1177/02632760022050997, DOI 10.1177/02632760022050997]; Jianqiang Shen, 2012, User Modeling, Adaptation, and Personalization. Proceedings 20th International Conference, UMAP 2012, P261, DOI 10.1007/978-3-642-31454-4_22; Jindal R., 2013, INT J DATABASE MANAG, V5, P53, DOI DOI 10.5121/IJDMS.2013.5304; Kahn P. H., 2006, P 15 IEEE INT S ROB, P364, DOI DOI 10.1109/ROMAN.2006.314461; Kalpana J. K. J., 2014, INTELLECTUAL PERFORM, V3, P1922; Khan M, 2014, MATH PROBL ENG, DOI 10.1155/2014/173068; Liu L., 2016, AAAI DIGIT LIB; Martin D., 2006, P TJH2B EUR TECH C C, P1; Merceron A, 2005, FR ART INT, V125, P467; Pianesi F, 2013, IEEE SIGNAL PROC MAG, V30, P146, DOI 10.1109/MSP.2012.2219671; Revelle W., 2007, PERSONAL RES METHODS; Saucier G, 1996, 5 FACTOR MODEL PERSO, P21; Schmitt DP, 2007, J CROSS CULT PSYCHOL, V38, P173, DOI 10.1177/0022022106297299; Shaun R., 2014, ED DATA MINING LEARN, P61; Sheard J., 2003, Education and Information Technologies, V8, P245, DOI 10.1023/A:1026360026073; Stangor C., 2010, FLAT WORLD KNOWL, V860; Vinciarelli A, 2014, IEEE T AFFECT COMPUT, V5, P273, DOI 10.1109/TAFFC.2014.2330816; Wald R, 2012, 2012 IEEE 13TH INTERNATIONAL CONFERENCE ON INFORMATION REUSE AND INTEGRATION (IRI), P109, DOI 10.1109/IRI.2012.6302998; Wang Y., WE KNOW WHAT YOU ARE, P1; Wu YY, 2015, P NATL ACAD SCI USA, V112, P1036, DOI 10.1073/pnas.1418680112	43	0	0	0	0	ELSEVIER SCIENCE BV	AMSTERDAM	SARA BURGERHARTSTRAAT 25, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1877-0509			PROCEDIA COMPUT SCI			2016	95						335	344		10.1016/j.procs.2016.09.343				10	Computer Science, Hardware & Architecture; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods	Computer Science	BG8TL	WOS:000392696000042		Other Gold			2018-12-03	
S	Zheng, JG; Zhang, JM		Jing, W; Guiran, C; Huiyu, Z		Zheng, Jigang; Zhang, Jingmei			The Application of Association Rules Mining in the Analysis of Students' Test Scores	PROCEEDINGS OF THE 2016 INTERNATIONAL CONFERENCE ON EDUCATION, MANAGEMENT AND COMPUTER SCIENCE (ICEMC 2016)	Advances in Intelligent Systems Research		English	Proceedings Paper	International Conference on Education, Management and Computer Science (ICEMC)	MAY 27-29, 2016	Shenyang, PEOPLES R CHINA			Data mining; Association rules; Test scores; Teaching quality		Data mining from large amounts of data to extract efficient, implicit, potential useful knowledge and information, it has in many other areas has been successfully applied. However, the application in the field of education is relatively less. The central work of institutions of higher learning is teaching, the focus is to improve the quality of education, but students are precisely the basis for measuring the quality of teaching. The characteristic of this paper is to apply association rule mining method of university students' grades, previously unknown effects on student achievement factors of mining, to provide some valuable reference for teachers and administrators, to provide the necessary decision support for teaching and student management, to better carry out teaching, in order to improve the quality of teaching in Colleges and universities.	[Zheng, Jigang] Baoshan Coll, Dept Math, Baoshan 678000, Yunnan, Peoples R China; [Zhang, Jingmei] Lib Baoshan Coll, Baoshan 678000, Yunnan, Peoples R China		6913641@qq.com; 279619568@qq.com					Han Jiawei, 2007, DATA MINING CONCEPTS, P146; Zhang Yanli, 2005, APPL DATA MINING TEC	2	0	0	0	1	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	1951-6851		978-94-6252-202-2	ADV INTEL SYS RES			2016	129						14	18						5	Computer Science, Interdisciplinary Applications; Operations Research & Management Science	Computer Science; Operations Research & Management Science	BG4AF	WOS:000388450000003					2018-12-03	
B	Santos, FD; Lechugo, CP; Silveira, IF		GarciaPenalvo, FJ; Mendes, AJ		Santos, Fabio de Paula; Lechugo, Carla Pineda; Silveira, Ismar Frango			"Speak well" or "complain" about your teacher: a contribution of Education Data Mining in the evaluation of teaching practices	2016 INTERNATIONAL SYMPOSIUM ON COMPUTERS IN EDUCATION (SIIE)			English	Proceedings Paper	International Symposium on Computers in Education (SIIE)	SEP 13-16, 2016	Salamanca, SPAIN	Asociacion Para Desarrollo Informatica Educativa, Univ Salamanca, Campus Int Excellence, GRIAL, CEDI, IEEE Sociedad Educacion, IEEE Educ Soc, Asociacion Tecnicos Informatica, Sociedad Cientifica Informatica Espana		Sentiment Analysis; Educational Data Mining; Institutional Teaching Evaluation		This paper is part of a doctoral thesis that aims to propose an evaluation model, for later application, using Educational Data Mining techniques to analyze the responses of students obtained during an Institutional Teaching Evaluation. Therefore, the authors propose an Institutional Teaching Evaluation model that applies, among others, the Sentiment Analysis to identify which teaching practices are positive or negative from the perspective of students from a Higher Education Institution. Differently than the current Institutional Teaching Evaluation models, which are founded on the evaluators' assumptions, this model responds to the need of better pedagogical practices through data mining, finding new categories of analysis in the discourse of a group of students to contribute to the conception of a more effective Teaching Evaluation and to create awareness about teaching practices.	[Santos, Fabio de Paula] Fed Inst Educ Sci & Technol, IFSP CPS Mackenzie, Salto, SP, Brazil; [Lechugo, Carla Pineda] CPS, Fac Technol Itu, Itu, SP, Brazil; [Silveira, Ismar Frango] Mackenzie Presbiterian Univ, Sao Paulo, Brazil	Santos, FD (reprint author), Fed Inst Educ Sci & Technol, IFSP CPS Mackenzie, Salto, SP, Brazil.	fabio.santos@ifsp.edu.br; carlalechugo@gmail.com; ismarfrango@gmail.com					Baker R. S. J., 2010, INT ENCY ED, V3, P112, DOI [DOI 10.1016/B978-0-08-044894-7.01318-X, 10.4018/978-1-59140-557-3.ch075]; Brunialti L. F., 2015, 11 BRAZ S INF SYST; CENTRO Paula Souza, 2014, SAI SIST AV I CTR PA; da Silva L. A., 2015, MINERACAO DADOS ABOR; Grohmann Márcia Zampieri, 2012, Avaliação (Campinas), V17, P65, DOI 10.1590/S1414-40772012000100004; Jindal R., 2013, INT J DATABASE MANAG, V5, P53, DOI DOI 10.5121/IJDMS.2013.5304; Lechugo C. P., 2016, EDUCACAO TECNOLOGICA; Liu B., 2015, SENTIMENT ANAL; Peres S. M., 2012, REV INFORM TEORICA A, V19, P120	9	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-4596-9				2016														4	Computer Science, Interdisciplinary Applications; Education & Educational Research	Computer Science; Education & Educational Research	BG7WO	WOS:000391860000014					2018-12-03	
S	Wang, HB; Tao, M; Liu, WJ		Shi, S; Wu, M		Wang, Huan-Bin; Tao, Ma; Liu, Wen-Jie			Research on the application of data mining technology in the teaching quality evaluation in Colleges	PROCEEDINGS OF THE 2016 3RD INTERNATIONAL CONFERENCE ON MANAGEMENT, EDUCATION TECHNOLOGY AND SPORTS SCIENCE (METSS 2016)	AEBMR-Advances in Economics Business and Management Research		English	Proceedings Paper	3rd International Conference on Management, Education Technology and Sports Science (METSS)	SEP 24-25, 2016	Guilin, PEOPLES R CHINA			data mining; quality evaluation; teaching management		To improve the teaching quality and the quality of talents training is the basic goal of the reform of higher education and teaching. Scientific evaluation and monitoring is an important means to achieve this goal. The application of data mining technology in the teaching quality evaluation system has become the focus of the research on teaching quality evaluation in Colleges. Firstly, this paper analyzes the advantages of data mining technology in teaching quality evaluation. The concept and concrete steps of data mining are studied. Finally, the data extraction process and the composition of the data mining module in the teaching quality evaluation data mining are analyzed.	[Wang, Huan-Bin; Tao, Ma; Liu, Wen-Jie] Airforce Engn Univ, Coll Management & Safety Engn Equipment, Xian 710051, Shanxi, Peoples R China	Wang, HB (reprint author), Airforce Engn Univ, Coll Management & Safety Engn Equipment, Xian 710051, Shanxi, Peoples R China.	whbkgd@163.com					Li Jing, ANAL CONSTRUCTION J; Wang Xuhui, 2009, HIGHER ED RES CHENGD; Xu Xiaojuan, 2008, DISCUSSION EVALUATIO; Zhao Fei, 2009, ED OCCUPATION; Zhou Ping, 2009, QUALITY STANDARD EVA	5	0	0	0	0	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	2352-5428		978-94-6252-248-0	AEBMR ADV ECON			2016	25						228	231						4	Business; Education & Educational Research; Hospitality, Leisure, Sport & Tourism; Management	Business & Economics; Education & Educational Research; Social Sciences - Other Topics	BG8GH	WOS:000392268800048					2018-12-03	
S	Udupi, PK; Sharma, N; Jha, SK		Shukla, B; Khatri, SK; Kapur, PK		Udupi, Prakash Kumar; Sharma, Nisha; Jha, S. K.			Educational Data Mining and Big Data Framework for e-Learning Environment	2016 5TH INTERNATIONAL CONFERENCE ON RELIABILITY, INFOCOM TECHNOLOGIES AND OPTIMIZATION (TRENDS AND FUTURE DIRECTIONS) (ICRITO)	International Conference on Reliability Infocom Technologies and Optimization Trends and Future Directions		English	Proceedings Paper	5th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)	SEP 07-09, 2016	Amity Univ, Noida, INDIA	Amity Univ, Amity Inst Informat Technol, IEEE UP Sect	Amity Univ	E-learning; Big Data Framework; Augmented learning; Adaptive learning		E-learning data consists of large volume of educational data and available with complex and hybrid data architecture. Capturing of student performances, student evaluation and student's interaction information are one of the challenges faced by the e-learning software users at the time of analysis. Integrating student data along with educational data for analysis needs complex system design framework. New innovations in e-learning also facilitates augmented learning, adaptive learning, web based learning, activity based learning, and project based learning. Education technology interventions using learning management system, content management system, advanced distributed learning; sharable content object reference models and application program interfaces enhanced and extended the e-learning frameworks to a greater horizon. Present technology also ensures transformations of e-learning information without any geographical barriers. These educational and student or user data combined together forms big data architecture under e-learning environment and mining these big data for various requirements or knowledge discoveries needs innovative approaches. This paper identifies and evaluates various e-learning models and associated education technology paradigm. The research further explores and proposes a new framework for big data integrations. The paper also discusses the scope of future research on data mining and role of big data in e-learning environment.	[Udupi, Prakash Kumar] Middle East Coll, Dept Comp, Muscat, Oman; [Sharma, Nisha] NIMT, Kurukshetra, Haryana, India; [Jha, S. K.] Amity Univ, AIIT, Noida, India	Udupi, PK (reprint author), Middle East Coll, Dept Comp, Muscat, Oman.	prakash@mec.edu.om; nishajan6@gmail.com; skjha2@amity.edu					Amirah M. S., 2015, PROCEDIA COMPUTER SC, V72, P414; Biswas P., ELECT J E LEARNING, V5, P87; Brijesh K. B., 2011, INT J ADV COMPUTER S, V2, P63; Chandrashekar R., 2011, IEEE INT C TECHN ED; Elabdin Ahmed A. Z., 2015, INT J ADV RES COMPUT, V3, P47; Georgouli K, 2008, EDUC TECHNOL SOC, V11, P227; Jonathan P., INT IND TRAIN SIM ED, P1; Kresimir F., 2009, P 31 INT C INF TECHN, P487; Nishantha G, 2012, MULTIMEDIA INTEGRATE, P153; Papamitsiou Z, 2014, EDUC TECHNOL SOC, V17, P49; Pierre G., 2015, P INT C COMM MAN INF, P324; Pooja T., 2015, INT J COMPUTER APPL, V110, P60; Shanti D, P ASC 2011 HOB, P352; Shimaa B., 2012, P INT C ED E LEARN I, P1	14	2	2	1	6	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2469-875X		978-1-5090-1489-7	INT CONF RELI INFO			2016							258	261						4	Engineering, Electrical & Electronic; Telecommunications	Engineering; Telecommunications	BG7PB	WOS:000391546800052					2018-12-03	
S	Pereira, HA; De Souza, AF; De Menezes, CS		Spector, JM; Tsai, CC; Sampson, DG; Kinshuk; Huang, R; Chen, NS; Resta, P		Pereira, Heraclito A., Jr.; De Souza, Alberto F.; De Menezes, Credine S.			A Computational Architecture for Learning Analytics in Game-based Learning	2016 IEEE 16TH INTERNATIONAL CONFERENCE ON ADVANCED LEARNING TECHNOLOGIES (ICALT)	IEEE International Conference on Advanced Learning Technologies		English	Proceedings Paper	16th IEEE International Conference on Advanced Learning Technologies (ICALT)	JUL 25-28, 2016	Austin, TX	IEEE, IEEE Comp Soc, IEEE Tech Comm Learning Technol, Univ Texas Austin		Game-based learning assessment; learning analytics; computer vision; digital games		The use of digital games in education is already a reality, but their use in this area has been hampered by the lack of consolidated resources for evaluation of game-based learning. This paper reports a computational architecture for learning analytics in game-based learning that is based on relational analysis and data mining of data containing evidences of learning collected during the game play. It also uses computer vision techniques applied on images of the players playing to obtain information about their behaviors and emotions during the game.	[Pereira, Heraclito A., Jr.; De Souza, Alberto F.; De Menezes, Credine S.] Univ Fed Espirito Santo, Postgrad Program Informat, Vitoria, ES, Brazil; [De Menezes, Credine S.] Univ Fed Rio Grande do Sul, Educ Fac, Porto Alegre, RS, Brazil	Pereira, HA (reprint author), Univ Fed Espirito Santo, Postgrad Program Informat, Vitoria, ES, Brazil.	hapereirajr@gmail.com; alberto@lcad.inf.ufes.br; credine@gmail.com					Belloti F., 2013, HINDAWI ADV HUMAN CO; Bienkowski M., 2012, ENHANCING TEACHING L, P1; Blanc A., 2010, P 2 ACM INT WORKSH M, P25, DOI DOI 10.1145/1878052.1878059; Chaudy Y., 2013, P 7 EUR C GAM BAS LE, P3; Connolly TM, 2012, COMPUT EDUC, V59, P661, DOI 10.1016/j.compedu.2012.03.004; de Oliveira E, 2013, REV BRAS COMPUT APL, V5, P40, DOI 10.5335/rbca.2013.2807; Hall M., 2009, SIGKDD EXPLORATIONS, V11, P1, DOI DOI 10.1145/1656274.1656278; Hawlitschek A, 2014, PROC EUR CONF GAME, P199; Hays R., 2005, 2005004 NAV AIR WARF; Loh C. S., 2012, ASSESSMENT GAME BASE, P123, DOI DOI 10.1007/978-1-4614-3546-4_8; Schalkoff R.J., 1989, DIGITAL IMAGE PROCES, V286	11	0	0	1	6	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2161-3761		978-1-4673-9041-5	IEEE INT CONF ADV LE			2016							191	193		10.1109/ICALT.2016.3				3	Computer Science, Interdisciplinary Applications; Education & Educational Research	Computer Science; Education & Educational Research	BG8AB	WOS:000392135700051					2018-12-03	
S	Hasbun, T; Araya, A; Villalon, J		Spector, JM; Tsai, CC; Sampson, DG; Kinshuk; Huang, R; Chen, NS; Resta, P		Hasbun, Tomas; Araya, Alexandra; Villalon, Jorge			Extracurricular activities as dropout prediction factors in higher education using decision trees	2016 IEEE 16TH INTERNATIONAL CONFERENCE ON ADVANCED LEARNING TECHNOLOGIES (ICALT)	IEEE International Conference on Advanced Learning Technologies		English	Proceedings Paper	16th IEEE International Conference on Advanced Learning Technologies (ICALT)	JUL 25-28, 2016	Austin, TX	IEEE, IEEE Comp Soc, IEEE Tech Comm Learning Technol, Univ Texas Austin		dropout prediction; educational data mining; decision trees		Educational Data Mining can help predict dropout prone students and the factors institutions should observe in trying to avoid an important social problem in modern societies. However, most current predicting models use academic credit worth information from the curricula, ignoring extracurricular activities, while there is evidence from other research fields that some activities like sports can be related to academic performance. This paper studies the importance of extracurricular activities to predict dropout in students from two Bachelor of Science degrees (Engineering and Business). Data from 4.840 students was collected and two models, one including all data and another removing credits worth courses were trained and validated, showing that extracurricular activities are excellent dropout predictors.	[Hasbun, Tomas; Araya, Alexandra; Villalon, Jorge] Adolfo Ibanez Univ, Sch Sci & Engn, Santiago, Chile	Villalon, J (reprint author), Adolfo Ibanez Univ, Sch Sci & Engn, Santiago, Chile.	jorge.villalon@uai.cl		Villalon, Jorge/0000-0003-3021-3827			Biumenstein MI., 2012, IJCNN SPEC SESS MACH, P1; Dekker G. W., 2009, PREDICTING STUDENTS; Esteban-Cornejo I, 2015, J SCI MED SPORT, V18, P534, DOI 10.1016/j.jsams.2014.07.007; Fox CK, 2010, J SCHOOL HEALTH, V80, P31, DOI 10.1111/j.1746-1561.2009.00454.x; Mac Iver M. A., 2009, G W U C EQUITY EXCEL; Marquez-Vera C., 2011, P 4 INT C ED DAT MIN; OECD, 2009, HIGHL ED GLANC 2008; Quadri M., 2010, GLOBAL J COMPUTER SC, V10, P1; Romero C., 2010, IEEE T SYSTEMS MAN C, V20; TINTO V, 1975, REV EDUC RES, V45, P89, DOI 10.2307/1170024; Zepke N, 2006, STUD HIGH EDUC, V31, P587, DOI 10.1080/03075070600923418	11	1	1	1	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	2161-3761		978-1-4673-9041-5	IEEE INT CONF ADV LE			2016							242	244		10.1109/ICALT.2016.66				3	Computer Science, Interdisciplinary Applications; Education & Educational Research	Computer Science; Education & Educational Research	BG8AB	WOS:000392135700065					2018-12-03	
B	Pradhan, PR; Kulkarni, RB			IEEE	Pradhan, Priyanka Rajagouda; Kulkarni, R. B.			Secure E-Learning Using Data Mining Techniques and Concepts	2016 INTERNATIONAL CONFERENCE ON ELECTRICAL, ELECTRONICS, AND OPTIMIZATION TECHNIQUES (ICEEOT)			English	Proceedings Paper	International Conference on Electrical, Electronics, and Optimization Techniques (ICEEOT)	MAR 03-05, 2016	Palnchur, INDIA	DMI Coll Engn, IEEE DMI Coll Student Branch		file encryption and decryption; data mining concepts		Current education system turning to the digital learning technique. E-learning is one of the most widely used method for the education. E-learning gives experience as individual learning at any time as well as anywhere, so user get more interest, flexibility at learning. In this paper we have introduced e-learning platform which has divided into two important part; first part is learning data has to be secured, for securing data we has used file encryption and decryption technique, and second part comes use of data mining techniques and concepts for huge data storage.	[Pradhan, Priyanka Rajagouda] Walchand Inst Technol, Comp Sci & Engn, Solapur, India; [Kulkarni, R. B.] Walchand Inst Technol, Comp Sci & Engn Dept, Solapur, India	Pradhan, PR (reprint author), Walchand Inst Technol, Comp Sci & Engn, Solapur, India.	pradhan.priyanka1@gmail.com; raj_joy@yahoo.com					Ajayi L. A., 2008, ASIAN J INF TECHNOL, V7, P210; Baker M. J., 2000, INT J ARTIFICIAL INT, V11, P122; Castro Felix, APPL DATA MINING TEC; Chu K, 2003, WORLD C ED MULT HYP, P14; Mahanta Devaji, 2012, E LEARNING OBJECTIVE, V2; Maiorana Francesco, 2012, P WORLD C ENG 2012 W; Margo H., 2004, COMPUT EDUC, V42, P267; Nagarajan P., 2010, INT J U E SERVICE SC, V3; Tavagrian D., 2014, J E LEARNING	9	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-9939-5				2016							1498	1501						4	Engineering, Electrical & Electronic	Engineering	BG7JO	WOS:000391380901111					2018-12-03	
B	Ghosh, S; Shukla, S; Mehrotra, D			IEEE	Ghosh, Sumana; Shukla, Shweta; Mehrotra, Deepti			Application of Decision Tree for understanding Indian Educational Scenario	2016 INTERNATIONAL CONFERENCE ON ELECTRICAL, ELECTRONICS, AND OPTIMIZATION TECHNIQUES (ICEEOT)			English	Proceedings Paper	International Conference on Electrical, Electronics, and Optimization Techniques (ICEEOT)	MAR 03-05, 2016	Palnchur, INDIA	DMI Coll Engn, IEEE DMI Coll Student Branch		Decision Tree; Education; Literacy Rate; Classification		Education is one of the primary requirements for leading a good life. In India, still a large section of population is not educated, which makes them lag behind everyone. For overall development of our country, the citizens have to be educated and consequently employed. This paper analyses the most important factor that will result in the improved education level of our country, using data mining techniques.	[Ghosh, Sumana; Shukla, Shweta; Mehrotra, Deepti] Amity Univ Uttar Pradesh, Noida, Uttar Pradesh, India	Ghosh, S (reprint author), Amity Univ Uttar Pradesh, Noida, Uttar Pradesh, India.	sumana4@gmail.com; shwetashukla416@gmail.com; dmehrotra@amity.edu					[Anonymous], 2014, STRATEGIC PLANNING G; Banumathi A., 2012, TECHN ENH ED ICTEE 2; Rokach L, 2005, DATA MINING AND KNOWLEDGE DISCOVERY HANDBOOK, P165, DOI 10.1007/0-387-25465-X_9; Walia Navjot Kaur, 2016, PREDICTION CARBON ST	4	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4673-9939-5				2016							4367	4372						6	Engineering, Electrical & Electronic	Engineering	BG7JO	WOS:000391380904098					2018-12-03	
